G,R,X,Y,GR,UID,WrongR,qw,qb,X_count,Y_count,Y_count_resolve
F,W,-2.8182688263917286,-2.5530982162639555,FW,1,B,-1,-1,-2.8182688263917286,-2.5530982162639555,-2.5530982162639555
M,W,-0.5779887776313352,-0.4852268262958697,MW,2,W,-1,-1,-3.6395991519658883,-8.587555272505817,-1.0869723244866076
F,B,-4.8744532420232,-4.51786838929608,FB,3,W,-1,-1,-4.8744532420232,-4.764452119409426,-4.764452119409426
F,B,-2.6841979032487244,-2.8566548148945783,FB,4,B,-1,-1,-2.6841979032487244,-2.8566548148945783,-2.8566548148945783
M,B,0.5554750850357918,0.1750586264926916,MB,5,W,-1,-1,-2.5061352892987614,-7.927269819717256,-0.42668687169804626
F,W,-4.182059963004213,-3.9849493836445373,FW,6,B,-1,-1,-4.182059963004213,-3.9849493836445373,-3.9849493836445373
F,W,-3.5862097781999385,-3.0302767153471035,FW,7,W,-1,-1,-3.5862097781999385,-3.2768604454604495,-3.2768604454604495
F,B,-3.788217966451636,-3.8507461940269945,FB,8,W,-1,-1,-3.788217966451636,-4.0973299241403405,-4.0973299241403405
M,W,0.43481883783114905,0.4247208115036052,MW,9,W,-1,-1,-2.6267915365034042,-7.677607634706342,-0.17702468668713267
M,B,0.3682095025685507,-0.1106251938799752,MB,10,W,-1,-1,-2.6934008717660025,-8.212953640089923,-0.712370692070713
M,B,0.11079441245071488,-0.10011757823831816,MB,11,W,-1,-1,-2.9508159618838383,-8.202446024448266,-0.701863076429056
M,W,-0.7196486997237178,-0.6691430419352625,MW,12,W,-1,-1,-3.781259074058271,-8.77147148814521,-1.2708885401260004
M,W,-0.2635782673574084,-0.35685423936382465,MW,13,W,-1,-1,-3.3251886416919616,-8.459182685573772,-0.9585997375545625
M,W,-0.11475332457051107,-0.10718557827373544,MW,14,B,-1,-1,-3.1763636989050643,-7.969517225441888,-0.46893427742267857
F,B,-2.9704731294372246,-3.1719318338078577,FB,15,B,-1,-1,-2.9704731294372246,-3.1719318338078577,-3.1719318338078577
