G,R,X,Y,GR,UID,WrongR,qw,qb,X_count,Y_count,Y_count_resolve
M,B,-0.7707134688247833,-0.9487929486635376,MB,1,B,-1,-1,-3.812335344113184,-8.7846280775061,-1.2809668080697185
M,W,-1.946929293546393,-1.5450917495275092,MW,2,B,-1,-1,-4.988551168834794,-9.380926878370072,-1.87726560893369
M,B,0.2048046976335351,0.008794732730976973,MB,3,W,-1,-1,-2.836817177654866,-8.067857151193008,-0.5641958817566262
F,W,-1.2680863258564492,-1.5460478111796407,FW,4,W,-1,-1,-1.2680863258564492,-1.7821803373419298,-1.7821803373419298
M,B,-0.7197538314287232,-0.8876357880795883,MB,5,W,-1,-1,-3.761375706717124,-8.964287672003573,-1.4606264025671916
M,B,1.1148486813355722,0.8265357488403169,MB,6,B,-1,-1,-1.9267731939528288,-7.009299380002246,0.4943618894341359
F,W,-2.7659116874946297,-2.6761815779577898,FW,7,W,-1,-1,-2.7659116874946297,-2.9123141041200786,-2.9123141041200786
F,B,-3.0961410340337987,-3.0460681157060834,FB,8,B,-1,-1,-3.0961410340337987,-3.0460681157060834,-3.0460681157060834
F,W,-2.4491069387773896,-2.1386009265818964,FW,9,W,-1,-1,-2.4491069387773896,-2.3747334527441852,-2.3747334527441852
F,B,-2.248776429694277,-2.550999793944955,FB,10,B,-1,-1,-2.248776429694277,-2.550999793944955,-2.550999793944955
F,W,-2.159457346490623,-2.0595688313868066,FW,11,W,-1,-1,-2.159457346490623,-2.2957013575490954,-2.2957013575490954
M,W,0.5593696170865189,0.3778157550662875,MW,12,B,-1,-1,-2.482252258201882,-7.458019373776275,0.04564189566010651
M,B,0.7424479279444861,0.2666822658086724,MB,13,B,-1,-1,-2.299173947343915,-7.5691528630338905,-0.06549159359750861
M,W,0.6251070507164112,0.5024586186878368,MW,14,W,-1,-1,-2.4165148245719896,-7.574193265236148,-0.07053199579976632
M,W,-0.3108679412641017,-0.07130180447180168,MW,15,B,-1,-1,-3.3524898165525028,-7.907136933314365,-0.40347566387798267
M,W,-0.1270966604421519,-0.1335019289235665,MW,16,B,-1,-1,-3.168718535730553,-7.969337057766129,-0.4656757883297475
M,B,0.4901822601948872,0.26653615198641745,MB,17,B,-1,-1,-2.5514396150935137,-7.569298976856145,-0.06563770741976355
F,W,-2.4304984512043166,-2.3255207226485664,FW,18,B,-1,-1,-2.4304984512043166,-2.3255207226485664,-2.3255207226485664
F,W,-2.132118674722961,-2.099455064453143,FW,19,W,-1,-1,-2.132118674722961,-2.335587590615432,-2.335587590615432
F,W,-1.9675772539871603,-1.6536516093755982,FW,20,W,-1,-1,-1.9675772539871603,-1.8897841355378873,-1.8897841355378873
M,W,0.4952960105247703,0.7445037185514906,MW,21,W,-1,-1,-2.546325864763631,-7.3321481653724945,0.17151310406388742
M,W,0.08438407599682367,0.06345513439446493,MW,22,B,-1,-1,-2.9572377992915775,-7.772379994448098,-0.26871872501171606
F,W,-3.822444998876745,-3.495419792110336,FW,23,B,-1,-1,-3.822444998876745,-3.495419792110336,-3.495419792110336
M,B,0.5241029623396473,0.3671275257398859,MB,24,W,-1,-1,-2.517518912948754,-7.709524358184099,-0.20586308874771725
M,W,-0.563879250586902,-0.3426392354188837,MW,25,W,-1,-1,-3.605501125875303,-8.41929111934287,-0.9156298499064868
F,B,-3.1559959564081668,-3.193892657483945,FB,26,W,-1,-1,-3.1559959564081668,-3.430025183646234,-3.430025183646234
M,W,0.4451998335848698,0.3437645780708343,MW,27,W,-1,-1,-2.5964220417035313,-7.732887305853151,-0.2292260364167688
M,B,0.20537731161501407,-0.2687662095752009,MB,28,B,-1,-1,-2.836244563673387,-8.104601338417764,-0.600940068981382
M,B,-0.5338879925825996,-0.5241615271913106,MB,29,W,-1,-1,-3.5755098678710007,-8.600813411115295,-1.0971521416789138
M,B,1.0299698254953649,0.7268417264279234,MB,30,W,-1,-1,-2.011652049793036,-7.349810157496061,0.1538511119403203
F,B,-2.2737510897870505,-2.498525588401498,FB,31,B,-1,-1,-2.2737510897870505,-2.498525588401498,-2.498525588401498
M,W,1.1730757112872845,0.8370390939505695,MW,32,W,-1,-1,-1.8685461640011165,-7.239612789973416,0.2640484794629664
M,W,0.7732679339625146,0.5164518524078543,MW,33,B,-1,-1,-2.2683539413258864,-7.319383276434708,0.1842779930016733
F,W,-3.3157305783302964,-3.0441605461839623,FW,34,W,-1,-1,-3.3157305783302964,-3.280293072346251,-3.280293072346251
M,W,0.051898584038415116,0.08972619161464765,MW,35,B,-1,-1,-2.989723291249986,-7.746108937227915,-0.24244766779153334
M,B,1.1879164771219122,0.6609185794094241,MB,36,W,-1,-1,-1.8537053981664888,-7.415733304514561,0.08792796492182098
M,W,0.2264232119341691,0.0803862552708187,MW,37,B,-1,-1,-2.815198663354232,-7.755448873571744,-0.2517876041353623
M,W,0.1991754147200673,0.14626093883367158,MW,38,W,-1,-1,-2.8424464605683335,-7.930390945090314,-0.42672967565393155
M,W,1.2974611347655505,1.041059344156902,MW,39,W,-1,-1,-1.7441607405228505,-7.035592539767083,0.4680687296692989
M,B,-1.3885764533247975,-1.4458813986833452,MB,40,W,-1,-1,-4.430198328613199,-9.52253328260733,-2.0188720131709483
M,B,0.2478581607954665,0.16563354946735753,MB,41,W,-1,-1,-2.7937637144929344,-7.911018334456627,-0.4073570650202456
F,B,-3.2302076075763058,-3.3317105658225366,FB,42,W,-1,-1,-3.2302076075763058,-3.5678430919848254,-3.5678430919848254
F,B,-2.8660305435585385,-2.7963720067185434,FB,43,B,-1,-1,-2.8660305435585385,-2.7963720067185434,-2.7963720067185434
M,B,0.7445661451647635,0.5234951191890197,MB,44,B,-1,-1,-2.2970557301236374,-7.312340009653543,0.1913212597828387
M,W,0.4108738506383505,0.2681686266145935,MW,45,B,-1,-1,-2.6307480246500505,-7.567666502227969,-0.06400523279158749
M,B,-0.16288192761543974,-0.4692638272052319,MB,46,W,-1,-1,-3.2045038029038406,-8.545915711129217,-1.042254441692835
F,W,-4.1689279298461095,-3.883997965362755,FW,47,W,-1,-1,-4.1689279298461095,-4.120130491525044,-4.120130491525044
F,B,-2.58658642752784,-2.647814727731073,FB,48,B,-1,-1,-2.58658642752784,-2.647814727731073,-2.647814727731073
M,W,2.1407972963113964,1.6109905314219144,MW,49,W,-1,-1,-0.9008245789770046,-6.465661352502071,1.0379999169343113
M,B,0.328690418285545,-0.050981331673514714,MB,50,W,-1,-1,-2.712931457002856,-8.1276332155975,-0.6239719461611178
M,W,-0.03645470814625987,-0.026314250019227187,MW,51,B,-1,-1,-3.078076583434661,-7.86214937886179,-0.3584881094254082
F,W,-0.9375947407658702,-0.9695925330562044,FW,52,W,-1,-1,-0.9375947407658702,-1.2057250592184934,-1.2057250592184934
F,W,-1.7075793191055846,-1.5639884744684769,FW,53,W,-1,-1,-1.7075793191055846,-1.800121000630766,-1.800121000630766
F,W,-3.4813122184528087,-3.013298738717027,FW,54,B,-1,-1,-3.4813122184528087,-3.013298738717027,-3.013298738717027
M,W,-0.4554947395700943,-0.3154436213070015,MW,55,W,-1,-1,-3.4971166148584953,-8.392095505230987,-0.8884342357946047
M,B,-0.37872632207392026,-0.5547592738718495,MB,56,B,-1,-1,-3.4203481973623213,-8.390594402714413,-0.8869331332780306
M,W,-0.10557784109224813,-0.08575552572242587,MW,57,B,-1,-1,-3.147199716380649,-7.921590654564989,-0.4179293851286069
M,W,-0.6439232659897773,-0.4519829647105952,MW,58,W,-1,-1,-3.6855451412781783,-8.52863484863458,-1.0249735791981984
M,W,1.3954771007827056,1.0712081945830652,MW,59,B,-1,-1,-1.6461447745056954,-6.764626934259498,0.7390343351768842
M,B,0.14920337359068178,0.05214737979530719,MB,60,B,-1,-1,-2.892418501697719,-7.783687749047256,-0.2800264796108738
M,B,0.013444199118903604,-0.2584912939355239,MB,61,B,-1,-1,-3.028177676169497,-8.094326422778087,-0.5906651533417049
F,B,-3.0911361197541307,-3.207084675698713,FB,62,W,-1,-1,-3.0911361197541307,-3.443217201861002,-3.443217201861002
F,W,-2.888925583142216,-2.9649316328331468,FW,63,B,-1,-1,-2.888925583142216,-2.9649316328331468,-2.9649316328331468
M,W,1.2071266917235492,0.9677068775369609,MW,64,B,-1,-1,-1.8344951835648518,-6.868128251305602,0.6355330181307799
M,W,-0.5697775095360728,-0.39398174452488616,MW,65,W,-1,-1,-3.6113993848244736,-8.470633628448871,-0.9669723590124892
M,W,0.15422215870349576,0.13452253235444062,MW,66,B,-1,-1,-2.8873997165849055,-7.701312596488123,-0.19765132705174038
M,W,0.2572260673959652,0.1591182305962089,MW,67,B,-1,-1,-2.7843958078924356,-7.676716898246354,-0.1730556288099721
M,W,-1.110517536102248,-0.8822740442245219,MW,68,B,-1,-1,-4.152139411390649,-8.718109173067084,-1.214447903630703
M,W,0.7231738290763808,0.7090182046649828,MW,69,W,-1,-1,-2.31844804621202,-7.3676336792590025,0.13602759017737964
M,B,1.7144810647507562,1.3537748052708838,MB,70,W,-1,-1,-1.3271408105376448,-6.722877078653101,0.7807841907832807
F,B,-4.318261192384979,-3.893429569445436,FB,71,B,-1,-1,-4.318261192384979,-3.893429569445436,-3.893429569445436
M,W,0.1526920865827223,0.12331476585367822,MW,72,B,-1,-1,-2.8889297887056786,-7.712520362988885,-0.20885909355250276
M,W,0.6983255129356932,0.5964685614756786,MW,73,B,-1,-1,-2.343296362352708,-7.2393665673668846,0.2642947020694976
M,B,-1.0563325441184266,-0.9045702810016211,MB,74,W,-1,-1,-4.097954419406827,-8.981222164925606,-1.477560895489224
F,W,-2.079253516388404,-2.03861355079683,FW,75,W,-1,-1,-2.079253516388404,-2.274746076959119,-2.274746076959119
M,B,-0.6804773945744538,-0.7114398289725692,MB,76,B,-1,-1,-3.7220992698628548,-8.547274957815132,-1.0436136883787501
M,B,-0.6675010382906119,-0.9849722734178552,MB,77,W,-1,-1,-3.709122913579013,-9.06162415734184,-1.5579628879054583
M,W,-0.07736246700076448,0.08873108923262688,MW,78,W,-1,-1,-3.1189843422891657,-7.987920794691358,-0.4842595252549763
M,B,1.1112653138906592,0.572579507252241,MB,79,W,-1,-1,-1.9303565613977418,-7.504072376671743,-0.0004111072353620848
M,W,0.2342578221437451,0.08439079274991124,MW,80,W,-1,-1,-2.807364053144656,-7.992261091174074,-0.4885998217376919
M,W,0.3863361587879453,0.2859388694858108,MW,81,B,-1,-1,-2.6552857165004555,-7.549896259356752,-0.04623498992037017
M,W,0.3592079687522156,0.5098148955820265,MW,82,W,-1,-1,-2.682413906536185,-7.566836988341958,-0.0631757189055766
F,W,-3.4033586013704857,-3.130718653205449,FW,83,B,-1,-1,-3.4033586013704857,-3.130718653205449,-3.130718653205449
M,W,-1.1295397373754403,-0.8887953617880491,MW,84,W,-1,-1,-4.171161612663841,-8.965447245712035,-1.4617859762756522
M,W,0.13486086856627974,0.15573700951021185,MW,85,B,-1,-1,-2.9067610067221215,-7.680098119332351,-0.17643684989596914
M,B,0.7471347465784687,0.5156229902979399,MB,86,W,-1,-1,-2.294487128709932,-7.561028893626045,-0.057367624189663236
M,B,0.30252022252252314,-0.0977882213224008,MB,87,B,-1,-1,-2.739101652765878,-7.933623350164964,-0.4299620807285818
F,W,-3.013429132714407,-2.576044912064262,FW,88,B,-1,-1,-3.013429132714407,-2.576044912064262,-2.576044912064262
M,W,0.1973346836108835,0.3459651471280894,MW,89,B,-1,-1,-2.8442871916775174,-7.489869981714474,0.013791287721908407
M,W,-0.7124562190394165,-0.5564202443571753,MW,90,W,-1,-1,-3.7540780943278174,-8.63307212828116,-1.1294108588447784
M,W,-0.21092148953408466,0.10810222683216744,MW,91,W,-1,-1,-3.2525433648224857,-7.968549657091818,-0.4648883876554357
M,B,-1.3157878234485674,-1.1716092292492826,MB,92,W,-1,-1,-4.357409698736968,-9.248261113173267,-1.7445998437368857
M,B,0.833894509509323,0.3028917620241256,MB,93,W,-1,-1,-2.207727365779078,-7.773760121899859,-0.27009885246347753
F,B,-2.4421185521676443,-2.593891919536897,FB,94,B,-1,-1,-2.4421185521676443,-2.593891919536897,-2.593891919536897
F,B,-4.015593137710759,-3.8332055698797203,FB,95,B,-1,-1,-4.015593137710759,-3.8332055698797203,-3.8332055698797203
M,W,0.5575786279945416,0.5905050144909123,MW,96,W,-1,-1,-2.4840432472938594,-7.486146869433073,0.017514400003309172
M,W,0.2083003996654839,0.2772100224216063,MW,97,W,-1,-1,-2.8333214756229173,-7.799441861502379,-0.29578059206599683
M,W,0.4797397418641714,0.3214587158632751,MW,98,W,-1,-1,-2.5618821334242297,-7.75519316806071,-0.251531898624328
F,W,-3.2126609824812125,-2.7702974119124333,FW,99,W,-1,-1,-3.2126609824812125,-3.006429938074722,-3.006429938074722
F,W,-1.7202508306027902,-1.7135141844211454,FW,100,B,-1,-1,-1.7202508306027902,-1.7135141844211454,-1.7135141844211454
M,B,0.7823767605201568,0.4577202594037227,MB,101,W,-1,-1,-2.259245114768244,-7.618931624520262,-0.11527035508388045
M,W,-0.6091756960437221,-0.5313369036247797,MW,102,B,-1,-1,-3.6507975713321232,-8.367172032467343,-0.8635107630309606
F,W,-4.7018532873319625,-4.2992582769577,FW,103,W,-1,-1,-4.7018532873319625,-4.53539080311999,-4.53539080311999
M,W,-0.08517258421253089,-0.2032156214722456,MW,104,W,-1,-1,-3.126794459500932,-8.279867505396231,-0.7762062359598487
F,B,-1.0967103020137323,-1.4471301384724495,FB,105,W,-1,-1,-1.0967103020137323,-1.6832626646347384,-1.6832626646347384
M,W,0.09523618745805328,-0.005705594318084539,MW,106,W,-1,-1,-2.9463856878303476,-8.08235747824207,-0.5786962088056877
M,B,0.7060710084473484,0.4159646224495848,MB,107,B,-1,-1,-2.3355508668410527,-7.419870506392978,0.08379076304340383
F,B,-5.348896710615084,-5.049913668646284,FB,108,W,-1,-1,-5.348896710615084,-5.2860461948085735,-5.2860461948085735
F,W,-3.7393890868526287,-3.298470645023708,FW,109,B,-1,-1,-3.7393890868526287,-3.298470645023708,-3.298470645023708
