G,R,X,Y,GR,UID,WrongR,qw,qb,X_count,Y_count,Y_count_resolve
M,W,-0.5263340485939657,-0.42122558533715293,MW,1,W,-1,-1,-3.594592214112649,-8.579952434065161,-1.0280683533169452
M,W,-0.8408385739948879,-0.4676930534650384,MW,2,W,-1,-1,-3.909096739513571,-8.626419902193048,-1.0745358214448306
F,B,-3.496157719751242,-3.324291541881743,FB,3,B,-1,-1,-3.496157719751242,-3.324291541881743,-3.324291541881743
F,W,-1.968451099864996,-2.032209828525893,FW,4,B,-1,-1,-1.968451099864996,-2.032209828525893,-2.032209828525893
M,B,-0.1103197957592945,-0.3992867120086815,MB,5,W,-1,-1,-3.178577961277978,-8.55801356073669,-1.0061294799884737
M,B,0.09826328193715116,0.009423251512262127,MB,6,B,-1,-1,-2.969994883581532,-7.909494408715105,-0.3576103279668889
M,B,0.3279376416443016,-0.07706376216481764,MB,7,W,-1,-1,-2.7403205238743817,-8.235790610892826,-0.6839065301446099
F,B,-3.6357054064557386,-3.499430316438014,FB,8,W,-1,-1,-3.6357054064557386,-3.745198322666547,-3.745198322666547
F,B,-2.1166826379286343,-2.466503233947757,FB,9,W,-1,-1,-2.1166826379286343,-2.71227124017629,-2.71227124017629
F,W,-2.3093409148776343,-2.0672025588350693,FW,10,B,-1,-1,-2.3093409148776343,-2.0672025588350693,-2.0672025588350693
M,W,0.29645946990973643,0.06096148096758089,MW,11,W,-1,-1,-2.771798695608947,-8.097765367760427,-0.5458812870122113
M,B,-0.15756894615366387,-0.3475454423557637,MB,12,B,-1,-1,-3.225827111672347,-8.266463102583131,-0.7145790218349147
M,W,-0.6911174917996403,-0.5774580858064914,MW,13,B,-1,-1,-3.7593756573183237,-8.49637574603386,-0.9444916652856424
M,W,-0.05734304349346985,-0.005499293471054663,MW,14,B,-1,-1,-3.125601209012153,-7.924416953698422,-0.3725328729502057
M,W,-0.5200499374332126,-0.35040084574564234,MW,15,B,-1,-1,-3.588308102951896,-8.26931850597301,-0.7174344252247934
F,B,-4.401481941377178,-4.0584188866353665,FB,16,B,-1,-1,-4.401481941377178,-4.0584188866353665,-4.0584188866353665
F,W,-4.793086803808045,-4.078247725153398,FW,17,W,-1,-1,-4.793086803808045,-4.324015731381931,-4.324015731381931
M,B,0.4053644449775885,-0.01558990700663254,MB,18,W,-1,-1,-2.6628937205410947,-8.17431675573464,-0.6224326749864247
M,W,0.677703484558938,0.7783992703518807,MW,19,W,-1,-1,-2.3905546809597453,-7.380327578376128,0.17155650237208853
M,B,0.6694724317456615,0.3994670361186803,MB,20,W,-1,-1,-2.398785733773022,-7.759259812609328,-0.2073757318611119
M,B,0.3780072621935912,0.019041445265875482,MB,21,W,-1,-1,-2.6902509033250923,-8.139685403462133,-0.5878013227139167
M,B,0.7597439198623259,0.32684053868927104,MB,22,B,-1,-1,-2.308514245656357,-7.592077121538097,-0.04019304078988001
F,W,-5.2909898325089255,-4.577304979553412,FW,23,W,-1,-1,-5.2909898325089255,-4.823072985781946,-4.823072985781946
M,B,-0.5074647844269872,-0.7318180650110905,MB,24,B,-1,-1,-3.5757229499456704,-8.650735725238459,-1.0988516444902414
M,W,0.5010691457819653,0.2909111306765593,MW,25,W,-1,-1,-2.567189019736718,-7.86781571805145,-0.31593163730323287
M,W,0.14535746471538386,0.051717519334470864,MW,26,B,-1,-1,-2.9229007008032997,-7.867200140892897,-0.31531606014468017
F,W,-1.590536215358494,-1.6952125559485784,FW,27,B,-1,-1,-1.590536215358494,-1.6952125559485784,-1.6952125559485784
M,B,-0.4387356819908123,-0.5526384294390263,MB,28,W,-1,-1,-3.5069938475094955,-8.711365278167035,-1.1594811974188186
F,W,-2.2421585492540443,-2.1991309927847182,FW,29,W,-1,-1,-2.2421585492540443,-2.444898999013251,-2.444898999013251
M,W,-0.5309414550635424,-0.34628537024697675,MW,30,W,-1,-1,-3.5991996205822256,-8.505012218974985,-0.9531281382267689
M,W,1.2560291775071415,1.0502210107922854,MW,31,B,-1,-1,-1.8122289880115419,-6.868696649435082,0.6831874313131343
F,W,-2.2743995722684205,-2.2486875993224666,FW,32,B,-1,-1,-2.2743995722684205,-2.2486875993224666,-2.2486875993224666
F,B,-0.5514236408114814,-1.0993910990486009,FB,33,B,-1,-1,-0.5514236408114814,-1.0993910990486009,-1.0993910990486009
F,W,-4.412330544799431,-3.646278161432882,FW,34,W,-1,-1,-4.412330544799431,-3.892046167661415,-3.892046167661415
M,B,0.5640500793731421,0.2682998305885319,MB,35,W,-1,-1,-2.504208086145541,-7.8904270181394764,-0.3385429373912603
M,W,0.3385447696139789,0.240420263539849,MW,36,W,-1,-1,-2.7297133959047044,-7.9183065851881596,-0.3664225044399432
M,W,0.04175363611075339,0.005406968823521621,MW,37,B,-1,-1,-3.02650452940793,-7.913510691403846,-0.36162661065562945
F,B,-1.3846679555408012,-1.6411455840536069,FB,38,B,-1,-1,-1.3846679555408012,-1.6411455840536069,-1.6411455840536069
F,W,-3.2172026218377847,-3.2316767727185134,FW,39,W,-1,-1,-3.2172026218377847,-3.4774447789470466,-3.4774447789470466
F,B,-2.3459453296631945,-2.1972703523821693,FB,40,B,-1,-1,-2.3459453296631945,-2.1972703523821693,-2.1972703523821693
M,W,0.666133712578644,0.4519172354936044,MW,41,W,-1,-1,-2.4021244529400394,-7.706809613234404,-0.1549255324861878
F,B,-3.803674705422352,-3.66052197251368,FB,42,W,-1,-1,-3.803674705422352,-3.9062899787422127,-3.9062899787422127
M,B,0.5621368849746434,0.5422642142824293,MB,43,B,-1,-1,-2.50612128054404,-7.376653445944938,0.17523063480327827
M,B,1.5868873145640283,1.1536343126505757,MB,44,B,-1,-1,-1.481370850954655,-6.7652833475767915,0.7866007331714246
M,W,0.5559972600854999,0.2573355175343529,MW,45,W,-1,-1,-2.5122609054331835,-7.901391331193656,-0.3495072504454393
M,W,-0.03494456438830338,-0.07645181309958463,MW,46,W,-1,-1,-3.103202729906987,-8.235178661827593,-0.6832945810793768
M,W,0.327616592197335,0.1962107515757635,MW,47,W,-1,-1,-2.7406415733213483,-7.962516097152245,-0.4106320164040287
F,W,-3.9592637476065202,-3.609620737325068,FW,48,B,-1,-1,-3.9592637476065202,-3.609620737325068,-3.609620737325068
M,W,0.804589572507835,0.5681265407687588,MW,49,B,-1,-1,-2.2636685930108484,-7.350791119458608,0.20109296128960774
F,W,-3.2438501851985224,-2.6656711689622767,FW,50,B,-1,-1,-3.2438501851985224,-2.6656711689622767,-2.6656711689622767
M,W,-0.7090455275993978,-0.6778902759452125,MW,51,W,-1,-1,-3.777303693118081,-8.836617124673221,-1.2847330439250046
M,W,1.5670058696753275,1.217443491840085,MW,52,W,-1,-1,-1.5012522958433558,-6.941283356887924,0.6106007238602927
F,B,-2.374664806417834,-2.5580807848673865,FB,53,B,-1,-1,-2.374664806417834,-2.5580807848673865,-2.5580807848673865
F,B,-2.7344754819682398,-3.0004225715468342,FB,54,B,-1,-1,-2.7344754819682398,-3.0004225715468342,-3.0004225715468342
M,B,-0.5685184773864664,-0.6930742983911891,MB,55,W,-1,-1,-3.63677664290515,-8.851801147119197,-1.2999170663709814
M,W,0.0701122873858834,0.018943073705415987,MW,56,W,-1,-1,-2.9981458781328,-8.139783775022593,-0.5878996942743762
F,B,-3.117626914541791,-3.0451623481049435,FB,57,B,-1,-1,-3.117626914541791,-3.0451623481049435,-3.0451623481049435
M,B,-0.13779853151387303,-0.3596707862356417,MB,58,B,-1,-1,-3.2060566970325564,-8.27858844646301,-0.7267043657147927
F,B,-4.964515132750625,-4.333186706073677,FB,59,W,-1,-1,-4.964515132750625,-4.5789547123022105,-4.5789547123022105
M,W,-0.21722113515286864,-0.09706206236321543,MW,60,B,-1,-1,-3.285479300671552,-8.015979722590583,-0.4640956418423665
F,W,-2.2487614953036275,-2.2043736686363338,FW,61,B,-1,-1,-2.2487614953036275,-2.2043736686363338,-2.2043736686363338
M,W,0.1196037608733666,0.041669557503562826,MW,62,B,-1,-1,-2.9486544046453167,-7.877248102723804,-0.3253640219755882
M,W,-0.7431226175340361,-0.5652286159647667,MW,63,B,-1,-1,-3.8113807830527193,-8.484146276192135,-0.9322621954439178
M,W,-0.2594524699276688,-0.18671919266722045,MW,64,B,-1,-1,-3.327710635446352,-8.105636852894587,-0.5537527721463715
F,W,-4.991475604588229,-4.407327558512751,FW,65,B,-1,-1,-4.991475604588229,-4.407327558512751,-4.407327558512751
M,B,0.2949386874944346,-0.07428954063323845,MB,66,B,-1,-1,-2.773319478024249,-7.993207200860606,-0.4413231201123895
M,W,1.7178394510473862,1.3062463039946866,MW,67,B,-1,-1,-1.3504187144712971,-6.612671356232681,0.9392127245155355
M,B,-0.13583289702373094,-0.30313549319108696,MB,68,B,-1,-1,-3.2040910625424144,-8.222053153418454,-0.6701690726702381
F,B,-2.8801575385729246,-3.0017609641503857,FB,69,W,-1,-1,-2.8801575385729246,-3.2475289703789185,-3.2475289703789185
M,W,0.15124436023084448,0.2568669554898371,MW,70,B,-1,-1,-2.917013805287839,-7.66205070473753,-0.11016662398931393
M,W,0.038231926474893985,-0.06722561361831754,MW,71,B,-1,-1,-3.0300262390437895,-7.986143273845685,-0.4342591930974686
M,W,-0.8944032806579647,-0.8002437818832498,MW,72,B,-1,-1,-3.9626614461766483,-8.719161442110618,-1.1672773613624008
F,B,-3.5981458462796785,-3.62916175608581,FB,73,B,-1,-1,-3.5981458462796785,-3.62916175608581,-3.62916175608581
M,W,-0.83702174532397,-0.5305429575219335,MW,74,B,-1,-1,-3.9052799108426535,-8.4494606177493,-0.8975765370010845
F,W,-1.805837206055269,-1.843010894657652,FW,75,W,-1,-1,-1.805837206055269,-2.088778900886185,-2.088778900886185
M,B,-0.13086498244225014,-0.1535742788007156,MB,76,B,-1,-1,-3.1991231479609334,-8.072491939028083,-0.5206078582798667
F,B,-3.428818037183235,-3.1598527561067344,FB,77,B,-1,-1,-3.428818037183235,-3.1598527561067344,-3.1598527561067344
M,B,0.2356758443015088,-0.1012779565646444,MB,78,B,-1,-1,-2.8325823212171746,-8.020195616792012,-0.46831153604379544
F,W,-3.3284975620843467,-3.2139574660617525,FW,79,W,-1,-1,-3.3284975620843467,-3.4597254722902857,-3.4597254722902857
F,B,-2.4775432512365594,-2.7149737986115574,FB,80,W,-1,-1,-2.4775432512365594,-2.96074180484009,-2.96074180484009
M,W,-0.8809473000858258,-0.6788311514823187,MW,81,W,-1,-1,-3.9492054656045092,-8.837558000210327,-1.285673919462111
F,W,-3.769153551065223,-3.542779537397726,FW,82,W,-1,-1,-3.769153551065223,-3.788547543626259,-3.788547543626259
M,W,-0.5232075537907975,-0.464111438289193,MW,83,W,-1,-1,-3.5914657193094808,-8.622838287017201,-1.0709542062689852
M,W,-0.3583122678663384,-0.44790532883175305,MW,84,W,-1,-1,-3.426570433385022,-8.606632177559762,-1.0547480968115452
M,B,1.0883905131701297,0.5784927171557481,MB,85,W,-1,-1,-1.9798676523485537,-7.580234131572261,-0.02835005082404407
M,B,-0.28261886681468623,-0.38413911241569776,MB,86,W,-1,-1,-3.3508770323333694,-8.542865961143706,-0.99098188039549
M,B,0.4238426659065211,-0.14717029178288166,MB,87,B,-1,-1,-2.6444154996121623,-8.06608795201025,-0.5142038712620327
