G,R,X,Y,GR,UID,WrongR,qw,qb,X_count,Y_count,Y_count_resolve
M,B,-0.1654190585179032,-0.5205546994518235,MB,1,B,-1,-1,-3.1584657609229727,-8.061959534609802,-0.8909663528544816
M,W,0.5984949428537191,0.2640811093065661,MW,2,W,-1,-1,-2.39455175955135,-7.511684778845375,-0.34069159709005564
M,B,0.19589361420946846,-0.2663271417272501,MB,3,B,-1,-1,-2.797153088195601,-7.807731976885227,-0.6367387951299082
M,W,0.5055237889105517,0.3053844263000598,MW,4,W,-1,-1,-2.4875229134945176,-7.470381461851881,-0.29938828009656193
M,B,-0.05667970276903025,-0.4676564407967106,MB,5,B,-1,-1,-3.0497264051740998,-8.009061275954688,-0.8380680941993686
F,B,-3.80969715967914,-3.4645515950589405,FB,6,W,-1,-1,-3.80969715967914,-3.7183270182308594,-3.7183270182308594
F,B,-3.804877590294727,-3.680119553872639,FB,7,B,-1,-1,-3.804877590294727,-3.680119553872639,-3.680119553872639
M,W,1.2234691471977452,1.0213671404189406,MW,8,B,-1,-1,-1.769577555207324,-6.520037694739036,0.6509554870162826
M,W,-0.2825635631907041,-0.23821224496490334,MW,9,W,-1,-1,-3.2756102655957733,-8.013978133116844,-0.8429849513615251
M,B,-0.0741206301110189,-0.18670365351428767,MB,10,W,-1,-1,-3.0671673325160884,-7.962469541666229,-0.7914763599109094
M,W,0.07903907286466051,0.026659514464688963,MW,11,W,-1,-1,-2.914007629540409,-7.749106373687252,-0.5781131919319328
M,W,0.5402866375914481,0.5443504032938791,MW,12,B,-1,-1,-2.452760064813621,-6.997054431864099,0.17393874989122105
F,B,-4.464757758092633,-4.155088227202906,FB,13,B,-1,-1,-4.464757758092633,-4.155088227202906,-4.155088227202906
F,W,-3.555887509484556,-3.31571914268912,FW,14,B,-1,-1,-3.555887509484556,-3.31571914268912,-3.31571914268912
M,B,0.002689338398487878,-0.1843971220312324,MB,15,B,-1,-1,-2.9903573640065813,-7.72580195718921,-0.5548087754338904
M,W,0.1837650428629295,0.06182637944133505,MW,16,B,-1,-1,-2.80928165954214,-7.479578455716642,-0.30858527396132296
M,W,0.5609644586298829,0.34508418878007663,MW,17,W,-1,-1,-2.4320822437751866,-7.430681699371864,-0.2596885176165451
M,W,-0.9435805442048756,-0.8628487657224981,MW,18,B,-1,-1,-3.936627246609945,-8.404253600880475,-1.2332604191251562
F,B,-2.4988422473618006,-2.7781824643915414,FB,19,W,-1,-1,-2.4988422473618006,-3.0319578875634603,-3.0319578875634603
F,W,-3.846460639331577,-3.6706452912821335,FW,20,B,-1,-1,-3.846460639331577,-3.6706452912821335,-3.6706452912821335
F,B,-3.0344227046740477,-3.1191552757511745,FB,21,B,-1,-1,-3.0344227046740477,-3.1191552757511745,-3.1191552757511745
M,B,-1.2121113786767843,-1.2851255216182491,MB,22,B,-1,-1,-4.205158081081853,-8.826530356776226,-1.6555371750209071
M,W,0.10577158627352888,0.02887063608122452,MW,23,W,-1,-1,-2.8872751161315406,-7.746895252070717,-0.5759020703153972
F,W,-3.571859707652965,-3.3934277954290337,FW,24,W,-1,-1,-3.571859707652965,-3.6472032186009526,-3.6472032186009526
M,W,1.2005237653995615,1.0096029388194794,MW,25,W,-1,-1,-1.7925229370055078,-6.766162949332462,0.40483023242285765
F,B,-4.223281926645378,-4.175938598263313,FB,26,B,-1,-1,-4.223281926645378,-4.175938598263313,-4.175938598263313
M,W,0.2314840314251585,0.3568182236254793,MW,27,B,-1,-1,-2.761562670979911,-7.184586611532498,-0.0135934297771787
M,W,-1.5170683804627008,-0.9611751967980308,MW,28,B,-1,-1,-4.51011508286777,-8.502580031956008,-1.3315868502006887
M,B,-0.2147901143700227,-0.3354748218832746,MB,29,B,-1,-1,-3.207836816775092,-7.876879657041252,-0.7058864752859326
M,W,-0.3066631888245061,-0.12610494593651267,MW,30,B,-1,-1,-3.2997098912295755,-7.66750978109449,-0.4965165993391707
