G,R,X,Y,GR,UID,TrueR,qw,qb
M,B,-0.1654190585179032,-0.5205546994518235,MB,1,B,-1,-1
M,W,0.5984949428537191,0.26408110930656614,MW,2,W,-1,-1
M,B,0.19589361420946852,-0.2663271417272501,MB,3,B,-1,-1
M,W,0.5055237889105517,0.3053844263000598,MW,4,W,-1,-1
M,B,-0.05667970276903025,-0.46765644079671054,MB,5,B,-1,-1
F,W,-3.8096971596791396,-3.4645515950589405,FW,6,B,-1,-1
F,B,-3.8048775902947267,-3.680119553872639,FB,7,B,-1,-1
M,B,1.2234691471977452,1.0213671404189406,MB,8,W,-1,-1
M,W,-0.2825635631907041,-0.23821224496490337,MW,9,W,-1,-1
M,W,-0.0741206301110189,-0.18670365351428767,MW,10,B,-1,-1
M,W,0.07903907286466051,0.026659514464688963,MW,11,W,-1,-1
M,B,0.5402866375914481,0.5443504032938791,MB,12,W,-1,-1
F,B,-4.464757758092633,-4.155088227202906,FB,13,B,-1,-1
F,B,-3.555887509484556,-3.3157191426891197,FB,14,W,-1,-1
M,B,0.002689338398487878,-0.18439712203123237,MB,15,B,-1,-1
M,B,0.1837650428629295,0.06182637944133505,MB,16,W,-1,-1
M,W,0.5609644586298829,0.34508418878007663,MW,17,W,-1,-1
M,B,-0.9435805442048756,-0.8628487657224981,MB,18,W,-1,-1
F,W,-2.498842247361801,-2.7781824643915414,FW,19,B,-1,-1
F,B,-3.846460639331577,-3.6706452912821335,FB,20,W,-1,-1
F,B,-3.0344227046740473,-3.1191552757511745,FB,21,B,-1,-1
M,B,-1.2121113786767843,-1.2851255216182493,MB,22,B,-1,-1
M,W,0.10577158627352887,0.02887063608122452,MW,23,W,-1,-1
F,W,-3.5718597076529646,-3.393427795429034,FW,24,W,-1,-1
M,W,1.2005237653995615,1.0096029388194794,MW,25,W,-1,-1
F,B,-4.223281926645378,-4.175938598263313,FB,26,B,-1,-1
M,B,0.23148403142515855,0.3568182236254793,MB,27,W,-1,-1
M,B,-1.5170683804627008,-0.9611751967980308,MB,28,W,-1,-1
M,B,-0.2147901143700227,-0.3354748218832746,MB,29,B,-1,-1
M,B,-0.3066631888245061,-0.12610494593651267,MB,30,W,-1,-1
M,B,-1.0515472817938496,-1.0256508275104073,MB,31,W,-1,-1
M,W,1.1913990312115217,0.854276893260107,MW,32,W,-1,-1
M,B,-1.6474818073725812,-1.649448074915635,MB,33,B,-1,-1
M,W,1.1203409578566268,0.8867355790550149,MW,34,W,-1,-1
M,B,0.29292602657157985,0.13107460500678442,MB,35,B,-1,-1
M,B,-0.7066231731026198,-0.7025900797804574,MB,36,B,-1,-1
F,B,-3.268233921909353,-3.3277714076090747,FB,37,B,-1,-1
M,W,0.8068163962705601,0.6227634583356992,MW,38,W,-1,-1
M,W,-0.008563491745214796,-0.07180964803577979,MW,39,W,-1,-1
F,W,-2.08857452245683,-2.3904692452855816,FW,40,B,-1,-1
M,B,0.3711987206753514,0.019124068585204712,MB,41,B,-1,-1
F,B,-2.758060386204328,-2.781584182541791,FB,42,W,-1,-1
M,W,-0.3472908931344805,-0.342596551727292,MW,43,W,-1,-1
M,W,0.3696215768664378,0.3394044721519627,MW,44,W,-1,-1
F,B,-4.1140027775113595,-3.921665364148324,FB,45,W,-1,-1
M,B,-0.745528003982376,-0.8137083625338476,MB,46,W,-1,-1
M,W,0.132984781263157,0.1975269100809501,MW,47,W,-1,-1
M,W,-0.13740533493797352,-0.18791057035921535,MW,48,W,-1,-1
M,B,-0.30679863640868726,-0.3837161854710565,MB,49,B,-1,-1
M,B,0.2036827667403961,-0.10089392838032066,MB,50,B,-1,-1
F,W,-3.517700879706043,-3.353063525697702,FW,51,B,-1,-1
M,B,0.058506921410399704,0.10092854958922981,MB,52,W,-1,-1
M,B,0.6132250674210906,0.4729412114667205,MB,53,W,-1,-1
M,B,-0.5597257933490701,-0.6065365835253134,MB,54,B,-1,-1
M,W,1.0471717029634446,0.5543235587959991,MW,55,B,-1,-1
M,W,-0.04556591854287671,-0.02334562888850078,MW,56,W,-1,-1
F,B,-4.444847898592956,-4.201097134487548,FB,57,W,-1,-1
M,W,-1.0145473645560348,-0.8578428702142511,MW,58,B,-1,-1
M,B,0.2853631810926385,-0.07567331806679126,MB,59,B,-1,-1
F,W,-1.3941385145776484,-1.4610142475217212,FW,60,W,-1,-1
M,B,0.057798329201655854,-0.15376994100581057,MB,61,W,-1,-1
M,W,0.5420613730096393,0.321174501859521,MW,62,W,-1,-1
M,B,-0.34666637296093283,-0.15094711568752342,MB,63,W,-1,-1
M,W,-0.2914755056460812,-0.2485879506030389,MW,64,W,-1,-1
M,W,0.8565291460562674,0.8310703078404627,MW,65,W,-1,-1
M,B,-0.4066255096876061,-0.2669292458390797,MB,66,B,-1,-1
M,W,-1.7527533210602275,-1.493755900564947,MW,67,W,-1,-1
F,W,-2.7299467227605114,-2.554774206097785,FW,68,W,-1,-1
M,W,-0.44396477058430117,-0.7335965309988113,MW,69,B,-1,-1
F,W,-2.5381091368835804,-2.4691668912667506,FW,70,W,-1,-1
F,W,-2.972761993857882,-2.94313130327862,FW,71,B,-1,-1
M,W,0.21184871559603707,0.019795386856241104,MW,72,W,-1,-1
M,B,-0.6286151965184992,-0.692822445290402,MB,73,B,-1,-1
M,B,-0.7915366472396803,-0.5865531289763408,MB,74,W,-1,-1
F,W,-3.6680239320336385,-3.1980208422294525,FW,75,W,-1,-1
M,W,-0.10454012250620902,-0.39330750409083826,MW,76,B,-1,-1
M,B,0.260257638564955,0.2629377876616007,MB,77,W,-1,-1
M,W,0.4059380145740527,0.24096631232517332,MW,78,W,-1,-1
F,W,-2.4619184509374112,-2.409307228021677,FW,79,W,-1,-1
M,W,1.387240120586974,1.0879375943389151,MW,80,W,-1,-1
F,W,-4.287948395332334,-3.875712165993336,FW,81,B,-1,-1
F,B,-3.840615293927265,-3.7364766089606807,FB,82,B,-1,-1
M,W,1.1649390228316834,0.9139312421849555,MW,83,W,-1,-1
M,W,-0.29694318396556363,-0.4430468123526624,MW,84,W,-1,-1
F,B,-5.120241969703175,-4.852030931577049,FB,85,B,-1,-1
M,W,-0.12350383010417607,-0.1691045241236826,MW,86,W,-1,-1
F,W,-3.1371792780599934,-3.148173380101227,FW,87,B,-1,-1
F,B,-2.882912688860611,-2.738754128050428,FB,88,W,-1,-1
M,B,-0.04784709931550737,0.07186540790827607,MB,89,W,-1,-1
M,W,-0.6494251187671735,-0.6452727639032358,MW,90,W,-1,-1
F,W,-2.2740564835796064,-2.4787476692722983,FW,91,B,-1,-1
F,B,-3.7395276432742115,-3.1494168368626303,FB,92,W,-1,-1
M,W,-0.06101303022326587,-0.07073525287203762,MW,93,W,-1,-1
F,B,-0.9789286319661845,-1.268431950198269,FB,94,B,-1,-1
M,B,0.8400020788815854,0.6846349140048029,MB,95,W,-1,-1
M,B,0.09286203427263753,0.19477272478191276,MB,96,W,-1,-1
M,W,1.3060052709751095,0.845413191982083,MW,97,B,-1,-1
F,B,-3.315348639800514,-3.0712795155540347,FB,98,W,-1,-1
M,B,1.0618676537743468,0.7837142177517793,MB,99,B,-1,-1
M,W,-0.6536306273771006,-0.5270327866361892,MW,100,W,-1,-1
M,B,0.2294897851614315,0.012168694818276649,MB,101,W,-1,-1
F,B,-1.990576255243975,-2.082134737377467,FB,102,W,-1,-1
F,W,-1.7396606522486158,-1.8045664562734527,FW,103,W,-1,-1
M,W,1.3538765929603935,0.8421468934155251,MW,104,B,-1,-1
F,W,-2.8099389534329546,-2.7005438667554174,FW,105,W,-1,-1
M,B,-0.027463798158970553,-0.4152257608729362,MB,106,B,-1,-1
M,W,-0.025269292917171424,-0.010837673047211704,MW,107,W,-1,-1
M,B,-1.055002988937404,-0.963177132773881,MB,108,W,-1,-1
F,W,-2.844673367029107,-3.011728496444934,FW,109,B,-1,-1
F,W,-1.5175466988873842,-1.5898145724343027,FW,110,W,-1,-1
M,W,0.9605160010870344,0.937393950636464,MW,111,W,-1,-1
M,B,1.1010288530275556,0.7910367616985775,MB,112,W,-1,-1
M,W,0.2231897051002158,-0.017289105271042965,MW,113,B,-1,-1
M,W,1.5629148380178501,1.3399187875177412,MW,114,W,-1,-1
M,W,0.09799018613528136,-0.2243244323777278,MW,115,B,-1,-1
M,W,-0.2726296106815268,-0.2931288129063091,MW,116,W,-1,-1
M,B,0.17289738342351751,-0.023414679309880615,MB,117,W,-1,-1
M,W,-0.0960488336259483,-0.43965266034370853,MW,118,B,-1,-1
M,B,-1.1769694887740563,-0.9212236093815075,MB,119,W,-1,-1
M,B,0.667598906202913,0.18790225655625348,MB,120,B,-1,-1
M,W,0.2349233045402405,0.06079464055562067,MW,121,B,-1,-1
F,B,-2.849599113940179,-2.9001132535064107,FB,122,B,-1,-1
M,B,0.6499194449373408,0.40329693983494297,MB,123,B,-1,-1
M,B,1.1346770643680324,0.9144860875412412,MB,124,W,-1,-1
F,B,-3.4281804195421577,-3.208193615000898,FB,125,B,-1,-1
F,W,-2.3389847844513927,-1.8549898410227135,FW,126,W,-1,-1
F,B,-1.863839369255373,-2.113688531420239,FB,127,B,-1,-1
M,W,0.6822125638131807,0.6171967855852576,MW,128,W,-1,-1
M,W,0.6712940745537705,0.5144942151503983,MW,129,B,-1,-1
M,W,0.7518617386603683,0.6075967188025501,MW,130,W,-1,-1
