G,R,X,Y,GR,UID,TrueR,qw,qb
F,W,-2.6030306511641057,-2.5324033211836596,FW,1,W,-1,-1
F,W,-5.927377422963881,-5.161927503162767,FW,2,W,-1,-1
M,W,-0.6189383920973538,-0.6544567435030824,MW,3,B,-1,-1
F,B,-3.20605466093255,-2.762131242396361,FB,4,W,-1,-1
M,B,-1.4001052869197383,-1.3537226114443965,MB,5,B,-1,-1
F,W,-2.421252833344877,-2.249108607397417,FW,6,W,-1,-1
F,W,-3.62230365822404,-3.4616710382603295,FW,7,W,-1,-1
F,W,-0.4217374960989173,-0.8300769663777745,FW,8,B,-1,-1
M,B,-0.5006173090517955,-0.33029940825024,MB,9,W,-1,-1
M,B,-0.9824712945520194,-0.8253592232785153,MB,10,W,-1,-1
F,W,-3.323533716783463,-3.1320499661466106,FW,11,B,-1,-1
M,W,-0.4962517685649199,-0.3120481005162693,MW,12,W,-1,-1
M,W,-0.5484200466805925,-0.5189761998882103,MW,13,W,-1,-1
M,W,-0.7001831656689667,-0.7195026370459797,MW,14,W,-1,-1
M,B,0.2056163172478298,0.10602509551762217,MB,15,W,-1,-1
F,B,-2.897696891326055,-2.822435754158078,FB,16,B,-1,-1
M,B,-1.4247974443140359,-1.4616232878207254,MB,17,B,-1,-1
M,W,-0.01235236775344089,-0.2676938051773965,MW,18,B,-1,-1
M,B,0.9015744695725094,0.6142257915287183,MB,19,B,-1,-1
F,W,-2.4753607733122207,-2.291364646907252,FW,20,W,-1,-1
M,B,0.24268663806009563,0.1455576782471542,MB,21,W,-1,-1
M,W,-0.8158229269861221,-0.8258085970336593,MW,22,W,-1,-1
M,W,0.8943934879000411,0.5618033282916354,MW,23,W,-1,-1
M,W,-0.026518271377545116,-0.23155509768813465,MW,24,B,-1,-1
M,W,0.4278690352421785,0.3856520718749863,MW,25,W,-1,-1
M,B,0.2069820342798223,0.07675394575358084,MB,26,W,-1,-1
M,W,0.1513924278475134,0.1603426427073316,MW,27,W,-1,-1
M,B,0.30490163935486314,0.35084179907200086,MB,28,W,-1,-1
M,B,-0.7894418064167134,-0.49545454605588307,MB,29,W,-1,-1
M,W,0.6260649366591161,0.33791125930616794,MW,30,W,-1,-1
F,B,-3.3927105276318694,-3.077773856810933,FB,31,W,-1,-1
M,B,-0.444518715264429,-0.44899068811853876,MB,32,W,-1,-1
M,W,0.7434718167966378,0.5938562818086123,MW,33,W,-1,-1
M,B,0.5514683420662311,0.49561026003403735,MB,34,W,-1,-1
M,W,-0.2600791713246649,-0.4311084143062516,MW,35,B,-1,-1
M,B,0.5591006980437299,0.21223453731618988,MB,36,B,-1,-1
M,B,0.5136420297034169,0.15763149150188893,MB,37,B,-1,-1
F,B,-2.4763319128603176,-2.506711843002476,FB,38,W,-1,-1
F,B,-2.3528870472926044,-2.498486063258586,FB,39,B,-1,-1
F,W,-3.6909422807663423,-3.28340051324459,FW,40,W,-1,-1
F,W,-2.2486235023663905,-2.2480583840600383,FW,41,B,-1,-1
M,W,-0.13878004364669314,0.08012861942770375,MW,42,W,-1,-1
M,W,-0.8233862741285825,-0.6433338204848595,MW,43,W,-1,-1
F,B,-5.25205806223052,-4.487172251165934,FB,44,B,-1,-1
F,B,-3.07360948225361,-2.6326253278347487,FB,45,W,-1,-1
M,W,0.07686260110611101,0.07634122046030853,MW,46,W,-1,-1
F,B,-4.013902702633575,-3.4875710086097675,FB,47,W,-1,-1
M,W,-0.4316803284636045,-0.3770429476133082,MW,48,W,-1,-1
F,W,-2.9675346170756587,-3.189276531132222,FW,49,B,-1,-1
F,B,-4.1785168412094364,-3.873369360066134,FB,50,B,-1,-1
M,B,-0.13074350863553824,-0.07115839889744505,MB,51,W,-1,-1
M,W,-1.368719734964304,-1.0904323102015163,MW,52,W,-1,-1
M,B,-0.4589228965144669,-0.3551193982803448,MB,53,W,-1,-1
M,B,0.5752831720703078,0.5100245657118841,MB,54,W,-1,-1
F,W,-4.628147647059286,-4.1560068189243475,FW,55,B,-1,-1
F,B,-1.385942104571988,-1.43211656057894,FB,56,W,-1,-1
M,B,-0.30574814051998744,-0.17235422813702855,MB,57,W,-1,-1
F,B,-2.0130404637828696,-2.0390744184383958,FB,58,B,-1,-1
M,W,-0.9536972984766625,-0.8565969644989486,MW,59,W,-1,-1
M,W,-0.13471412141517872,-0.13756091523889816,MW,60,W,-1,-1
M,W,-0.36968340262723054,-0.7148801449670537,MW,61,B,-1,-1
F,W,-1.1174110009410545,-1.6666064729727126,FW,62,B,-1,-1
M,W,-0.11590031837634476,0.03777298352769526,MW,63,W,-1,-1
M,W,0.0752465480173779,-0.061485616020819665,MW,64,B,-1,-1
F,W,-2.5023855467742644,-2.5925422691968403,FW,65,W,-1,-1
M,W,0.026818440983794933,-0.02696573968198677,MW,66,B,-1,-1
M,W,-0.10229426612560656,-0.40524832246290576,MW,67,B,-1,-1
M,B,-0.337552533697918,-0.3480894043442627,MB,68,B,-1,-1
M,B,0.40639224687378167,0.08867165633411403,MB,69,B,-1,-1
M,B,-1.1727869733881724,-0.8689102626879314,MB,70,W,-1,-1
F,W,-1.6739788555543011,-1.5411169436073258,FW,71,W,-1,-1
M,W,0.6868657378065746,0.48309099069787176,MW,72,W,-1,-1
M,B,-0.41574810379028376,-0.6590488748975389,MB,73,B,-1,-1
M,B,-0.6373442209229945,-0.41872686543180354,MB,74,W,-1,-1
F,W,-5.370628297493099,-5.160901389217936,FW,75,B,-1,-1
F,B,-2.386431730099934,-2.5718924648873065,FB,76,B,-1,-1
F,W,-2.9305698845816583,-3.243432656110835,FW,77,B,-1,-1
M,W,0.11169721735731711,-0.21282836401710492,MW,78,B,-1,-1
M,W,0.4063583207163069,0.5126665708560181,MW,79,W,-1,-1
M,B,-0.6668708973105784,-0.7232643928537642,MB,80,W,-1,-1
M,W,-0.20243173507063994,-0.09223033973536962,MW,81,W,-1,-1
M,B,-0.9326413790901062,-0.8675397060794621,MB,82,W,-1,-1
M,B,0.3083967809765163,-0.19594123220002435,MB,83,B,-1,-1
M,B,0.09235169737563122,0.18296706133158946,MB,84,W,-1,-1
M,B,-0.6355755371301697,-0.541509423069773,MB,85,B,-1,-1
M,B,-0.01778306335702636,0.0034765898851883137,MB,86,W,-1,-1
M,B,0.10451435503252786,-0.17280013221845464,MB,87,B,-1,-1
M,W,0.6975451719695035,0.36233164472077045,MW,88,B,-1,-1
M,B,0.9191583368883519,0.6672016356266406,MB,89,W,-1,-1
M,B,-0.3128236433431303,-0.24671668554474868,MB,90,W,-1,-1
M,W,-0.5469380165361357,-0.519242188478065,MW,91,W,-1,-1
M,W,0.13340855481622763,0.2043003864371579,MW,92,W,-1,-1
M,B,-1.2819302377385164,-1.0860896568372573,MB,93,W,-1,-1
M,B,-1.0714685229204615,-0.9173407296955035,MB,94,W,-1,-1
M,B,0.24406420648973357,-0.14776146122222267,MB,95,B,-1,-1
F,W,-2.8981114832296626,-2.7755864078256915,FW,96,B,-1,-1
M,B,0.36590435039901936,0.39410217032500106,MB,97,W,-1,-1
M,B,0.15106642865819211,0.2304507705371274,MB,98,W,-1,-1
M,B,-0.536910331257537,-0.49484043660372345,MB,99,B,-1,-1
F,W,-1.5096864761229232,-1.944355209185138,FW,100,B,-1,-1
M,W,-1.1174601784902152,-1.0493068295565724,MW,101,B,-1,-1
M,B,0.15206257845732807,-0.18302518566757284,MB,102,B,-1,-1
F,W,-4.597801888520557,-4.038173505562138,FW,103,W,-1,-1
F,W,-3.558649639049548,-3.1426422088700177,FW,104,W,-1,-1
M,B,1.722673639965317,1.25192394327282,MB,105,B,-1,-1
M,W,-0.7573169914920838,-0.5935960563230844,MW,106,W,-1,-1
M,B,-0.42106635833278794,-0.7160597910763454,MB,107,B,-1,-1
F,W,-4.5424820564487085,-3.8157585408979378,FW,108,W,-1,-1
M,B,0.07562752815342275,-0.2588958038446384,MB,109,B,-1,-1
M,B,0.7151926566056043,0.5839081343422922,MB,110,W,-1,-1
F,B,-4.322079509932773,-4.193123759628206,FB,111,B,-1,-1
M,B,0.7230333879791201,0.4004333684703094,MB,112,B,-1,-1
M,W,0.29974932045393515,0.18983838792940075,MW,113,W,-1,-1
M,B,0.029668949612685687,-0.2649870903585614,MB,114,B,-1,-1
M,W,-0.558449990906962,-0.6012243109343751,MW,115,B,-1,-1
F,B,-1.6572778006103308,-2.272035666055637,FB,116,B,-1,-1
M,W,-0.8698099271607318,-0.7137786233993768,MW,117,W,-1,-1
F,W,-5.057820527290101,-4.466627461946935,FW,118,W,-1,-1
M,W,-1.3478668130327789,-1.001294839541254,MW,119,W,-1,-1
F,B,-3.144932508298925,-2.7250571526356016,FB,120,W,-1,-1
