G,R,X,Y,GR,UID,TrueR,qw,qb
M,W,-0.5263340485939657,-0.421225585337153,MW,1,W,-1,-1
M,W,-0.8408385739948879,-0.4676930534650384,MW,2,W,-1,-1
F,B,-3.496157719751242,-3.324291541881743,FB,3,B,-1,-1
F,B,-1.9684510998649956,-2.032209828525893,FB,4,W,-1,-1
M,W,-0.1103197957592945,-0.3992867120086815,MW,5,B,-1,-1
M,B,0.09826328193715117,0.009423251512262129,MB,6,B,-1,-1
M,W,0.32793764164430156,-0.07706376216481764,MW,7,B,-1,-1
F,W,-3.635705406455738,-3.499430316438014,FW,8,B,-1,-1
F,W,-2.1166826379286343,-2.4665032339477575,FW,9,B,-1,-1
F,B,-2.3093409148776343,-2.067202558835069,FB,10,W,-1,-1
M,W,0.29645946990973643,0.06096148096758089,MW,11,W,-1,-1
M,B,-0.15756894615366387,-0.3475454423557637,MB,12,B,-1,-1
M,B,-0.6911174917996403,-0.5774580858064914,MB,13,W,-1,-1
M,B,-0.05734304349346985,-0.005499293471054663,MB,14,W,-1,-1
M,B,-0.5200499374332126,-0.35040084574564234,MB,15,W,-1,-1
F,B,-4.401481941377179,-4.058418886635367,FB,16,B,-1,-1
F,W,-4.793086803808045,-4.078247725153398,FW,17,W,-1,-1
M,W,0.40536444497758845,-0.015589907006632542,MW,18,B,-1,-1
M,W,0.677703484558938,0.7783992703518807,MW,19,W,-1,-1
M,W,0.6694724317456615,0.39946703611868034,MW,20,B,-1,-1
M,W,0.3780072621935912,0.01904144526587548,MW,21,B,-1,-1
M,B,0.7597439198623259,0.32684053868927104,MB,22,B,-1,-1
F,W,-5.2909898325089255,-4.5773049795534115,FW,23,W,-1,-1
M,B,-0.5074647844269872,-0.7318180650110905,MB,24,B,-1,-1
M,W,0.5010691457819653,0.29091113067655927,MW,25,W,-1,-1
M,B,0.14535746471538386,0.05171751933447086,MB,26,W,-1,-1
F,B,-1.5905362153584939,-1.6952125559485784,FB,27,W,-1,-1
M,W,-0.4387356819908123,-0.5526384294390263,MW,28,B,-1,-1
F,W,-2.2421585492540443,-2.199130992784718,FW,29,W,-1,-1
M,W,-0.5309414550635424,-0.34628537024697675,MW,30,W,-1,-1
M,B,1.2560291775071417,1.0502210107922854,MB,31,W,-1,-1
F,B,-2.2743995722684205,-2.248687599322467,FB,32,W,-1,-1
F,B,-0.5514236408114814,-1.099391099048601,FB,33,B,-1,-1
F,W,-4.412330544799432,-3.646278161432882,FW,34,W,-1,-1
M,W,0.564050079373142,0.2682998305885319,MW,35,B,-1,-1
M,W,0.33854476961397895,0.240420263539849,MW,36,W,-1,-1
M,B,0.04175363611075339,0.0054069688235216205,MB,37,W,-1,-1
F,B,-1.3846679555408012,-1.6411455840536067,FB,38,B,-1,-1
F,W,-3.2172026218377847,-3.2316767727185134,FW,39,W,-1,-1
F,B,-2.3459453296631945,-2.197270352382169,FB,40,B,-1,-1
M,W,0.666133712578644,0.4519172354936044,MW,41,W,-1,-1
F,W,-3.803674705422352,-3.6605219725136804,FW,42,B,-1,-1
M,B,0.5621368849746434,0.5422642142824293,MB,43,B,-1,-1
M,B,1.5868873145640283,1.1536343126505755,MB,44,B,-1,-1
M,W,0.5559972600854999,0.2573355175343529,MW,45,W,-1,-1
M,W,-0.03494456438830338,-0.07645181309958463,MW,46,W,-1,-1
M,W,0.327616592197335,0.1962107515757635,MW,47,W,-1,-1
F,B,-3.95926374760652,-3.609620737325068,FB,48,W,-1,-1
M,B,0.804589572507835,0.5681265407687588,MB,49,W,-1,-1
F,B,-3.2438501851985224,-2.665671168962277,FB,50,W,-1,-1
M,W,-0.7090455275993978,-0.6778902759452125,MW,51,W,-1,-1
M,W,1.5670058696753277,1.217443491840085,MW,52,W,-1,-1
F,B,-2.374664806417834,-2.5580807848673865,FB,53,B,-1,-1
F,B,-2.734475481968239,-3.000422571546834,FB,54,B,-1,-1
M,W,-0.5685184773864664,-0.6930742983911891,MW,55,B,-1,-1
M,W,0.0701122873858834,0.018943073705415987,MW,56,W,-1,-1
F,B,-3.117626914541791,-3.0451623481049435,FB,57,B,-1,-1
M,B,-0.137798531513873,-0.35967078623564175,MB,58,B,-1,-1
F,W,-4.964515132750625,-4.333186706073677,FW,59,B,-1,-1
M,B,-0.21722113515286864,-0.09706206236321543,MB,60,W,-1,-1
F,B,-2.2487614953036275,-2.204373668636334,FB,61,W,-1,-1
M,B,0.11960376087336659,0.041669557503562826,MB,62,W,-1,-1
M,B,-0.7431226175340361,-0.5652286159647667,MB,63,W,-1,-1
M,B,-0.2594524699276688,-0.18671919266722045,MB,64,W,-1,-1
F,B,-4.991475604588229,-4.407327558512751,FB,65,W,-1,-1
M,B,0.2949386874944346,-0.07428954063323845,MB,66,B,-1,-1
M,B,1.7178394510473862,1.3062463039946866,MB,67,W,-1,-1
M,B,-0.13583289702373094,-0.303135493191087,MB,68,B,-1,-1
F,W,-2.880157538572925,-3.0017609641503857,FW,69,B,-1,-1
M,B,0.15124436023084448,0.2568669554898371,MB,70,W,-1,-1
M,B,0.03823192647489398,-0.06722561361831754,MB,71,W,-1,-1
M,B,-0.8944032806579647,-0.8002437818832498,MB,72,W,-1,-1
F,B,-3.5981458462796785,-3.6291617560858103,FB,73,B,-1,-1
M,B,-0.83702174532397,-0.5305429575219335,MB,74,W,-1,-1
F,W,-1.805837206055269,-1.8430108946576518,FW,75,W,-1,-1
M,B,-0.13086498244225017,-0.1535742788007156,MB,76,B,-1,-1
F,B,-3.428818037183235,-3.1598527561067344,FB,77,B,-1,-1
M,B,0.23567584430150876,-0.10127795656464439,MB,78,B,-1,-1
F,W,-3.3284975620843467,-3.2139574660617525,FW,79,W,-1,-1
F,W,-2.4775432512365594,-2.7149737986115574,FW,80,B,-1,-1
M,W,-0.8809473000858258,-0.6788311514823187,MW,81,W,-1,-1
F,W,-3.7691535510652225,-3.542779537397726,FW,82,W,-1,-1
M,W,-0.5232075537907975,-0.464111438289193,MW,83,W,-1,-1
M,W,-0.3583122678663384,-0.44790532883175305,MW,84,W,-1,-1
M,W,1.0883905131701295,0.5784927171557481,MW,85,B,-1,-1
M,W,-0.28261886681468623,-0.38413911241569776,MW,86,B,-1,-1
M,B,0.42384266590652114,-0.14717029178288166,MB,87,B,-1,-1
F,B,-1.0537055718858688,-1.5366454260498397,FB,88,B,-1,-1
M,W,-0.8482396864281689,-0.8615068513581566,MW,89,W,-1,-1
M,B,-1.4955602626271691,-1.5272711101432865,MB,90,B,-1,-1
F,W,-2.0290454030364478,-2.2929045079868238,FW,91,B,-1,-1
F,W,-3.9412608204509283,-3.536895325298826,FW,92,W,-1,-1
F,B,-2.683842322772317,-2.5420937492058537,FB,93,W,-1,-1
M,W,0.3021029116191171,0.025759089004219637,MW,94,B,-1,-1
F,B,-5.171888708612764,-4.817252220613366,FB,95,B,-1,-1
F,B,-2.018181521087481,-2.177969271591774,FB,96,B,-1,-1
M,W,1.484685989918985,1.3557815016825916,MW,97,W,-1,-1
F,B,-4.43699132014521,-4.253853152114392,FB,98,B,-1,-1
M,B,0.948297312870499,0.7482137887966167,MB,99,W,-1,-1
F,B,-4.151421312802519,-3.6552217339596886,FB,100,W,-1,-1
F,B,-3.0042776378393503,-2.9495992626738192,FB,101,B,-1,-1
