G,R,X,Y,GR,UID,TrueR,qw,qb
F,W,-1.9680512998061739,-2.1251403507770523,FW,1,B,-1,-1
M,B,0.9759233440818303,0.773803774079892,MB,2,W,-1,-1
F,W,-3.729757602348493,-3.186230333411117,FW,3,W,-1,-1
F,W,-3.1254698980746953,-3.2927663108495695,FW,4,B,-1,-1
M,B,-0.02085342821746585,0.033069060633870634,MB,5,W,-1,-1
F,W,-2.3695564976874253,-2.6402356767538935,FW,6,B,-1,-1
F,W,-2.3296545247333524,-2.132450908084484,FW,7,W,-1,-1
M,W,0.7823961932165252,0.5461720312118343,MW,8,W,-1,-1
M,B,1.184925837611204,0.634591262081574,MB,9,B,-1,-1
M,B,1.560753728565837,1.277906191123126,MB,10,W,-1,-1
F,B,-4.94594181546048,-4.493509980142213,FB,11,W,-1,-1
F,W,-1.9425039362123706,-2.0962684413067594,FW,12,B,-1,-1
M,W,-0.33177462561173726,-0.6175299917863701,MW,13,B,-1,-1
F,B,-2.472103099447212,-2.672557412001105,FB,14,W,-1,-1
F,B,-2.363651113394054,-2.3755503603145844,FB,15,B,-1,-1
F,W,-2.57872352228937,-2.410996147526239,FW,16,B,-1,-1
M,W,0.23365477147227234,0.07145740988392232,MW,17,B,-1,-1
M,W,0.03314503692763951,-0.005464035716206336,MW,18,W,-1,-1
F,B,-1.7433979368752048,-1.7309021671024107,FB,19,W,-1,-1
M,B,0.4985345997257245,0.41923842753486135,MB,20,W,-1,-1
F,B,-2.123058534049494,-2.4076249524700035,FB,21,B,-1,-1
F,W,-2.2281098869654885,-2.193843854698493,FW,22,W,-1,-1
M,W,-0.047444512975161404,0.025439456804741745,MW,23,W,-1,-1
M,B,0.5618064174835515,0.49235566799946057,MB,24,W,-1,-1
F,W,-3.1059357830213665,-2.7074522785800847,FW,25,W,-1,-1
F,B,-1.3812296969304445,-1.884774652162224,FB,26,B,-1,-1
M,W,-0.881423417976573,-0.8254562450806685,MW,27,B,-1,-1
F,B,-4.2459859400615185,-3.8566661111702816,FB,28,W,-1,-1
M,W,-0.2607165865083347,-0.2918685218836233,MW,29,W,-1,-1
M,W,0.6406003094744404,0.6247795173007004,MW,30,W,-1,-1
M,W,0.5540166393530958,0.4161160689506316,MW,31,W,-1,-1
M,W,-0.07731251693501456,0.056386558506377686,MW,32,W,-1,-1
