G,R,X,Y,GR,UID,TR,qw,qb
M,W,-0.08498414597516463,-0.06303497201711766,MW,1,W,0,0
M,W,0.05629045666860587,0.043200962948612184,MW,2,W,0,0
M,W,0.0010001821973351852,-0.002378623301773474,MW,3,W,0,0
F,W,-1.0282278936540414,-0.9438926407586391,FW,4,W,0,0
F,W,-0.9596941629839085,-0.8883833192269495,FW,5,W,0,0
M,W,-0.02018819024047594,-0.007064430797237986,MW,6,W,0,0
F,B,-0.9954189335058373,-0.9956485171166215,FB,7,B,0,1
F,W,-1.0009938302395178,-0.9287105749846436,FW,8,W,0,0
F,W,-1.0200464358022385,-0.9335080713918329,FW,9,W,0,0
M,W,-0.03578707666373747,-0.025251410931733748,MW,10,W,0,0
M,B,-0.023901233611218656,-0.09745906670938684,MB,11,B,0,1
M,W,0.005639533983235024,0.0030428069260957005,MW,12,W,0,0
F,B,-1.0578331055236434,-1.0409979951785342,FB,13,B,0,1
M,W,0.03507188514882515,0.030919214866187626,MW,14,W,0,0
F,W,-1.01254511732013,-0.9287760260513132,FW,15,W,0,0
F,B,-0.949246209747105,-0.9637220465588544,FB,16,B,0,1
M,B,0.06563026888806621,-0.027164246067977266,MB,17,B,0,1
M,W,0.024013003689901006,0.01971440922619033,MW,18,W,0,0
M,W,-0.016361135366404666,-0.01568250038247352,MW,19,W,0,0
F,W,-0.9966532643911135,-0.919773165900313,FW,20,W,0,0
M,W,0.0034282232262776912,0.0012236319633422029,MW,21,W,0,0
F,W,-0.9676605853533334,-0.8903717165076154,FW,22,W,0,0
M,W,0.0075320679782805286,0.0060851002081467355,MW,23,W,0,0
F,B,-1.002078241236741,-1.0040190988379962,FB,24,B,0,1
F,B,-1.0516590336474079,-1.0386979568384644,FB,25,B,0,1
M,W,0.0031284226628645957,-0.0017302699676171977,MW,26,W,0,0
M,W,0.028941370019048146,0.021683850688772727,MW,27,W,0,0
M,W,-0.03236745333655508,-0.03531742716056942,MW,28,W,0,0
M,B,0.019552381720032763,-0.06998782941548289,MB,29,B,0,1
M,W,0.007151349608235598,0.0002090698543209795,MW,30,W,0,0
M,W,0.01130326141935468,0.009378076854130226,MW,31,W,0,0
F,W,-0.9692879728684559,-0.8994783772887818,FW,32,W,0,0
M,B,-0.07679244956152871,-0.1430986768581017,MB,33,B,0,1
F,B,-0.9419689094686035,-0.9545971976783638,FB,34,B,0,1
F,W,-1.0073540563482208,-0.9228880316480111,FW,35,W,0,0
F,B,-0.9858046548259556,-0.9880018762874181,FB,36,B,0,1
M,B,-0.0073590406789810475,-0.08195693402575104,MB,37,B,0,1
M,W,-0.030653164914855115,-0.026823822437360444,MW,38,W,0,0
M,B,-0.0593956842298715,-0.12719928047363935,MB,39,B,0,1
