G,R,X,Y,GR,UID,TR,qw,qb
F,B,-1.0242794202884882,-1.0241166971906912,FB,1,B,0,1
M,W,-0.004117176024719738,-0.007257104167799553,MW,2,W,0,0
M,W,-0.04490164768298144,-0.03284552454586722,MW,3,W,0,0
F,B,-0.9787969437510103,-0.9914917964622543,FB,4,B,0,1
M,W,0.02389547506649217,0.01920041874829724,MW,5,W,0,0
F,B,-0.9801558041952072,-0.9870404745211623,FB,6,B,0,1
M,W,-0.03640075545035614,-0.028487069040112348,MW,7,W,0,0
F,W,-0.9926082455511142,-0.9187568535172497,FW,8,W,0,0
F,W,-1.0058993848862159,-0.9295896320858332,FW,9,W,0,0
M,W,-0.01876508049038472,-0.009242964506071576,MW,10,W,0,0
M,B,0.015421297767865537,-0.07397115657453728,MB,11,B,0,1
M,B,-0.010946023200332998,-0.08157460120707212,MB,12,B,0,1
M,W,0.009861872287369823,0.0026493849724677585,MW,13,W,0,0
M,W,0.000509085351525347,0.004537347450651187,MW,14,W,0,0
F,W,-1.0036225030123644,-0.9164825987711203,FW,15,W,0,0
M,B,0.022427244464383902,-0.0628222241808312,MB,16,B,0,1
M,B,-0.03910858757072633,-0.11164457432443856,MB,17,B,0,1
M,W,-0.01691484740875232,-0.013993077165634223,MW,18,W,0,0
M,W,-0.001220949838736315,-0.0025245264199172794,MW,19,W,0,0
F,W,-1.0042063635544551,-0.9251534933063268,FW,20,W,0,0
M,B,0.016759656633574194,-0.06405885591314836,MB,21,B,0,1
M,W,-0.014807495713004592,-0.004322788169067574,MW,22,W,0,0
M,W,-0.05197249661953239,-0.0389664213475537,MW,23,W,0,0
M,W,0.04952058210562578,0.03569233775314099,MW,24,W,0,0
F,B,-1.005863560950294,-1.005801364795433,FB,25,B,0,1
F,B,-1.0528444021681165,-1.0346186403200544,FB,26,B,0,1
F,W,-0.9567129700542448,-0.8791114543623105,FW,27,W,0,0
M,W,0.00385056503596248,0.0033597866649766207,MW,28,W,0,0
F,W,-0.9407042500042211,-0.8790579413635101,FW,29,W,0,0
M,B,-0.01314179645568356,-0.09543748146897098,MB,30,B,0,1
M,W,0.012439894745463887,0.008086880261013191,MW,31,W,0,0
F,B,-0.9467894402478864,-0.954272325275448,FB,32,B,0,1
M,B,0.01640647801209476,-0.06436243317419203,MB,33,B,0,1
M,B,-0.07607948070697257,-0.13176495925974335,MB,34,B,0,1
M,B,0.013868145693617278,-0.06158878112501322,MB,35,B,0,1
M,W,-0.025230886559824393,-0.008242475763548134,MW,36,W,0,0
F,W,-1.0477296097159459,-0.9573654800048408,FW,37,W,0,0
F,W,-0.945373167780885,-0.8819193866952467,FW,38,W,0,0
F,W,-0.970005456498264,-0.8907370976375686,FW,39,W,0,0
M,W,0.002744633391818936,0.012258476112937622,MW,40,W,0,0
M,W,-0.07425510796645961,-0.06487838855789316,MW,41,W,0,0
F,B,-0.9975678682710555,-1.0020355097742804,FB,42,B,0,1
M,W,0.003285778579226273,0.0042658597865671555,MW,43,W,0,0
M,W,-0.0013415631617005627,-0.004592817289283574,MW,44,W,0,0
F,W,-1.0512859649612607,-0.9662559619385275,FW,45,W,0,0
F,W,-0.974545209980206,-0.9030342026541914,FW,46,W,0,0
F,W,-0.9627360909291981,-0.881093426613972,FW,47,W,0,0
M,W,-0.012048475353579587,-0.010732995839390753,MW,48,W,0,0
M,W,0.026209960974572826,0.02230259208994925,MW,49,W,0,0
F,B,-1.0050961715069202,-1.0013936529983418,FB,50,B,0,1
F,W,-1.0319591702725104,-0.9406789546740799,FW,51,W,0,0
M,B,0.03421433779238781,-0.040913667361312606,MB,52,B,0,1
M,W,0.024921926418081504,0.02048995388408284,MW,53,W,0,0
M,B,0.01654607825663803,-0.06725669130418738,MB,54,B,0,1
F,B,-1.0177625415846938,-1.009257354730156,FB,55,B,0,1
M,B,0.0066730637219042386,-0.07515794614394061,MB,56,B,0,1
M,W,-0.043494047286557855,-0.03273757074884586,MW,57,W,0,0
F,B,-0.9893933868729092,-0.9967875380188191,FB,58,B,0,1
M,B,-0.020708918990736624,-0.09482944070337272,MB,59,B,0,1
F,W,-1.0161584111413575,-0.9279692972909275,FW,60,W,0,0
M,B,-0.009029628292037706,-0.08977607834323348,MB,61,B,0,1
M,B,0.02012245266491778,-0.058596605724962975,MB,62,B,0,1
M,W,-0.02607973323185552,-0.022540912475794986,MW,63,W,0,0
F,W,-1.0592254002569579,-0.9724870308741338,FW,64,W,0,0
F,W,-1.019325620567301,-0.9345579039898698,FW,65,W,0,0
M,W,0.04882811885865535,0.04054004062178253,MW,66,W,0,0
M,W,-0.011533681268215927,-0.001511899191306009,MW,67,W,0,0
M,B,0.034233920884448286,-0.052775221263144906,MB,68,B,0,1
F,W,-0.984628596516799,-0.9015133936619403,FW,69,W,0,0
M,W,-0.039200158264483566,-0.029129095715762162,MW,70,W,0,0
M,W,-0.01834554576749933,-0.019892003945916833,MW,71,W,0,0
M,B,-0.05284675358774425,-0.1186323733158177,MB,72,B,0,1
M,B,-0.03030233397666908,-0.1037771084896898,MB,73,B,0,1
F,W,-0.9670421260083747,-0.8962819549296805,FW,74,W,0,0
M,B,0.013500042648641953,-0.07154149856699764,MB,75,B,0,1
F,W,-0.9984425417973625,-0.9158280342782628,FW,76,W,0,0
M,W,0.007264376476424027,0.008416202191204914,MW,77,W,0,0
M,B,-0.02674031413370514,-0.09803317301525098,MB,78,B,0,1
M,W,-0.01119669072634772,-0.00396042795422802,MW,79,W,0,0
M,W,-0.026245221757050508,-0.022526666635413785,MW,80,W,0,0
M,B,-0.043371846804245905,-0.12815247762106374,MB,81,B,0,1
F,W,-1.036376735335835,-0.9528915038207335,FW,82,W,0,0
F,B,-1.027385631098978,-1.0226753023293862,FB,83,B,0,1
F,W,-0.9612544279624046,-0.8908020979721571,FW,84,W,0,0
M,W,0.024843543320150586,0.019884077816322246,MW,85,W,0,0
M,B,0.0135645852466574,-0.0610483744829227,MB,86,B,0,1
F,B,-1.0187215670703662,-1.0134331016846065,FB,87,B,0,1
M,B,0.012189939559227593,-0.06837106234616161,MB,88,B,0,1
M,W,-0.03453953904177585,-0.032223862677827134,MW,89,W,0,0
F,B,-0.9925080570098647,-0.9909511832147107,FB,90,B,0,1
M,W,-0.010387424551742753,-0.016363764908573292,MW,91,W,0,0
M,B,0.005100846758387356,-0.07916925403546753,MB,92,B,0,1
M,B,-0.026292786622267757,-0.09946970772964506,MB,93,B,0,1
F,B,-1.0303676291632855,-1.0202953970476953,FB,94,B,0,1
M,W,0.054042163613280396,0.04709037036837503,MW,95,W,0,0
M,W,-0.041307127397840954,-0.027160780316022055,MW,96,W,0,0
M,B,-0.020093857938794993,-0.09119509681189791,MB,97,B,0,1
F,W,-1.0164206211339897,-0.9338872627959041,FW,98,W,0,0
F,B,-0.9702348106523286,-0.9785216420093955,FB,99,B,0,1
M,W,0.09872203179325148,0.0771173988682151,MW,100,W,0,0
