G,R,X,Y,GR,UID,TR,qw,qb
M,W,0.040303716750181164,0.033824502775814856,MW,1,W,0,0
M,B,-0.007292412113290731,-0.08607622246812797,MB,2,B,0,1
M,B,-0.01660980142901003,-0.09593778353604093,MB,3,B,0,1
M,W,-0.0030987653675358037,-0.005692566540617394,MW,4,W,0,0
M,W,0.009631123120603744,0.009897996712837337,MW,5,W,0,0
M,B,-0.010582180312339762,-0.09021785825740855,MB,6,B,0,1
M,B,0.03525992736015195,-0.04505078403170905,MB,7,B,0,1
F,W,-0.9944409801344211,-0.9075914049185762,FW,8,W,0,0
F,B,-1.022790207690581,-1.0182848379076204,FB,9,B,0,1
F,W,-0.9756458661024026,-0.9019582503833602,FW,10,W,0,0
M,W,-0.004104421967002091,-0.0022079612467177374,MW,11,W,0,0
M,W,0.028745069950088898,0.023605591773069604,MW,12,W,0,0
F,W,-1.0055672746526518,-0.925584654173309,FW,13,W,0,0
F,W,-1.035610293398591,-0.947737366541211,FW,14,W,0,0
F,B,-0.9993271371608795,-1.0014192925857206,FB,15,B,0,1
F,W,-0.9633507079817943,-0.8960140914332709,FW,16,W,0,0
F,B,-1.0495541352397728,-1.0320828704411766,FB,17,B,0,1
F,W,-0.9976419573375974,-0.9203315417778176,FW,18,W,0,0
M,W,0.03234718297833141,0.03070364310525478,MW,19,W,0,0
F,B,-1.0055136399437836,-1.0058315660188215,FB,20,B,0,1
M,W,-0.028514247441370127,-0.026460592133929157,MW,21,W,0,0
F,W,-1.0478468356888258,-0.9649101214995399,FW,22,W,0,0
F,B,-0.9533851412603235,-0.9613292703113414,FB,23,B,0,1
M,W,0.0047431401000289485,0.003676076769056589,MW,24,W,0,0
M,W,-0.008805086510804841,-0.004605351053396038,MW,25,W,0,0
F,W,-1.025440465774727,-0.9412168852355398,FW,26,W,0,0
F,W,-0.9863997988510853,-0.9112358500226654,FW,27,W,0,0
F,B,-0.9771986396295451,-0.9781655606092873,FB,28,B,0,1
M,B,-0.006774314996993504,-0.09018922286042282,MB,29,B,0,1
M,W,0.023482949780143203,0.01870575752970936,MW,30,W,0,0
M,B,0.001488977568308972,-0.07559984775122185,MB,31,B,0,1
M,W,-0.020103047810242556,-0.011705576323423852,MW,32,W,0,0
M,W,-0.02185229611922798,-0.009184315153878983,MW,33,W,0,0
M,B,0.033168224232867596,-0.05062570475304372,MB,34,B,0,1
M,B,0.017059412944262806,-0.05936161833263978,MB,35,B,0,1
M,W,-0.010587078258375104,-0.004042481082455904,MW,36,W,0,0
M,B,-0.008059940737476918,-0.08489203773675227,MB,37,B,0,1
