G,R,X,Y,GR,UID,TR,qw,qb
F,B,-1.0137420059982123,-1.007577414325409,FB,1,B,0,1
M,B,-0.028563199666079307,-0.10067114584160146,MB,2,B,0,1
M,W,-0.0024968271873225508,0.005850838493854697,MW,3,W,0,0
M,W,-0.003463492518507055,-0.004661969570153453,MW,4,W,0,0
M,B,0.03364448512639883,-0.05429400918789394,MB,5,B,0,1
M,B,-0.07854170037940356,-0.1585877764388563,MB,6,B,0,1
M,W,0.028269988160269193,0.02169780313587984,MW,7,W,0,0
F,W,-0.995515014372123,-0.9276451711875532,FW,8,W,0,0
F,W,-0.9798529122080795,-0.9027383855098342,FW,9,W,0,0
F,W,-0.9667672292626155,-0.8907682602277633,FW,10,W,0,0
M,B,-0.010576632591221474,-0.08854248837068078,MB,11,B,0,1
M,W,-0.0025356158725115103,-0.0001859196947406076,MW,12,W,0,0
F,B,-0.9434757880306041,-0.9527178707515318,FB,13,B,0,1
M,W,-0.021409743624551083,-0.027721313602292835,MW,14,W,0,0
M,W,-0.011844659172752944,-0.004152716759345936,MW,15,W,0,0
M,W,-0.018225950750879728,-0.009319283171550678,MW,16,W,0,0
M,B,0.03037485891168207,-0.05873570603754522,MB,17,B,0,1
F,B,-1.0219253303750009,-1.01426416938452,FB,18,B,0,1
M,B,-0.011202213864778347,-0.08891282979021607,MB,19,B,0,1
M,W,0.027376986373665497,0.021939921964977113,MW,20,W,0,0
F,W,-0.9795485045091672,-0.905520526854362,FW,21,W,0,0
M,B,-0.0026921407588755167,-0.08922612681818051,MB,22,B,0,1
F,W,-1.0261116039072768,-0.9378649902592807,FW,23,W,0,0
M,W,0.039458342512588326,0.0304371384030947,MW,24,W,0,0
M,W,0.0038529760680793205,0.003927425025264437,MW,25,W,0,0
M,W,-0.03215836070337585,-0.023964399452563852,MW,26,W,0,0
F,B,-0.9558114365376217,-0.960613965874123,FB,27,B,0,1
M,B,-0.009330663612863008,-0.09143188806380402,MB,28,B,0,1
M,W,-0.03654508679484978,-0.03786452028123843,MW,29,W,0,0
M,W,0.013624509254875483,0.015306026955082805,MW,30,W,0,0
F,W,-1.0055209775911198,-0.9210366160391595,FW,31,W,0,0
M,W,-0.016722978192309935,-0.010985723518674554,MW,32,W,0,0
M,W,-0.014498446861494445,-0.014328767758898889,MW,33,W,0,0
M,W,-0.005745674626625698,-0.004788137649590825,MW,34,W,0,0
F,W,-0.9658785900486915,-0.8920437114392243,FW,35,W,0,0
M,W,0.020307363011016575,0.01979793368804872,MW,36,W,0,0
M,W,0.01806651126737275,0.010107519708420816,MW,37,W,0,0
M,B,0.020119953437213456,-0.06446524857015816,MB,38,B,0,1
M,W,-0.03067434071246508,-0.030565195076948225,MW,39,W,0,0
F,W,-1.0028948485758502,-0.9208853278758661,FW,40,W,0,0
F,W,-0.9618616217390317,-0.8901851341202892,FW,41,W,0,0
M,B,0.026863334239115293,-0.06194244132485839,MB,42,B,0,1
M,W,-0.008734070689510908,-0.006022320892083753,MW,43,W,0,0
M,W,-0.05147385704678646,-0.035195324791811686,MW,44,W,0,0
M,B,0.07877372453088952,-0.017072390559176642,MB,45,B,0,1
F,W,-1.0165012961234876,-0.9243229713507781,FW,46,W,0,0
M,W,0.015183573236120603,0.012393628542261061,MW,47,W,0,0
M,W,-0.041343176684467214,-0.03711117323439063,MW,48,W,0,0
