G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,W,-0.004105004107269881,-0.0011637975493044815,MW,1,-0.8041801857840343,-0.923249099543908,-0.28400299143030244
M,W,-0.0014794204317593318,-0.002657109274224236,MW,2,-0.8015546021085237,-0.9211513040060195,-0.2819051958924141
F,W,-0.90704663401761,-0.8452794982524459,FW,3,-0.8073000163201692,-0.8048914404275983,-0.8845872472978397
F,W,-0.9084525339996988,-0.8485838148447782,FW,4,-0.8087059163022581,-0.8060147299790424,-0.8857105368492838
M,W,-0.02606293880467908,-0.019449862008395248,MW,5,-0.8261381204814435,-0.9407931061810271,-0.3015469980674217
F,W,-0.9176241324753688,-0.8540657476790743,FW,6,-0.817877514777928,-0.8133426771082928,-0.8930384839785341
F,B,-0.8020278848424796,-0.9212135314530367,FB,7,-0.8020278848424796,-0.6408062838665497,-0.6408062838665497
M,W,-0.009667052100220357,-0.0060227449542174785,MW,8,-0.8097422337769847,-0.9276930788274338,-0.28844697071382824
M,B,0.1105416474600386,-0.07106938333958407,MB,9,-0.7886751123276833,-0.7510291171360153,-0.03257061822327259
M,W,-0.014862179014153175,-0.012459526028357669,MW,10,-0.8149373606909176,-0.9318438945719341,-0.2925977864583285
M,B,0.1061105358858711,-0.07362363309619553,MB,11,-0.7931062239018507,-0.7545694979568118,-0.03611099904406913
F,W,-0.8830096257581133,-0.8251595262650816,FW,12,-0.7832630080606725,-0.7856862902961127,-0.8653820971663541
F,W,-0.8919558798695575,-0.8318400548898278,FW,13,-0.7922092621721167,-0.7928341912108127,-0.872529998081054
M,B,0.10932368707798254,-0.0712136104969488,MB,14,-0.7898930727097393,-0.7520022462267517,-0.033543747314009026
F,W,-0.8994435316328298,-0.8409031489961516,FW,15,-0.799696913935389,-0.7988166943032726,-0.878512501173514
M,B,0.10269505389026193,-0.07450549983563548,MB,16,-0.79652170589746,-0.7572984084680083,-0.03883990955526573
F,W,-0.9036848591910156,-0.8412430327479191,FW,17,-0.8039382414935748,-0.8022054410072051,-0.8819012478774465
F,W,-0.8914645139194524,-0.8314326808233058,FW,18,-0.7917178962220116,-0.7924415983914653,-0.8721374052617067
F,W,-0.9032828017333778,-0.8427177661573324,FW,19,-0.8035361840359371,-0.8018842041148241,-0.8815800109850654
F,W,-0.9338172326345788,-0.8666095421025567,FW,20,-0.8340706149371381,-0.8262806815510438,-0.9059764884212852
M,W,0.0038135508474674475,0.0030003238370397674,MW,21,-0.7962616308292969,-0.9169223123211234,-0.277676204207518
M,W,0.013167389130566679,0.01148557419263068,MW,22,-0.7869077925461977,-0.909448758765989,-0.2702026506523835
M,W,-0.01823451193899398,-0.01488532883163222,MW,23,-0.8183096936157583,-0.9345383297285774,-0.29529222161497204
M,W,-0.006863483932056349,-0.00533893700662815,MW,24,-0.8069386656088208,-0.9254530767859079,-0.28620696867230255
M,W,-0.0011439502431877713,-0.0022355607149833123,MW,25,-0.8012191319199522,-0.9208832691796136,-0.28163716106600806
F,W,-0.8943366809799684,-0.8349798086085882,FW,26,-0.7945900632825277,-0.7947364097508668,-0.8744322166211081
M,W,0.002827711635053228,0.0017445133864499413,MW,27,-0.7972474700417111,-0.9177099806480433,-0.278463872534438
M,W,0.00991820805603845,0.009065577841352505,MW,28,-0.7901569736207259,-0.9120447977433455,-0.27279868962974013
M,W,-0.010809434716832902,-0.008561926040787192,MW,29,-0.8108846163935973,-0.9286058226024823,-0.2893597144888767
F,W,-0.8866980430121038,-0.8268803655132742,FW,30,-0.786951425314663,-0.7886332713157852,-0.8683290781860266
M,B,0.09892404784433287,-0.08273870661483347,MB,31,-0.800292711943389,-0.7603113764911897,-0.041852877578446995
