G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
F,B,-0.7955349541100097,-0.9156006586599464,FB,1,-0.7955349541100097,-0.6324165843809125,-0.6324165843809125
M,B,0.09790538451929566,-0.0825460464532861,MB,2,-0.8027935324933724,-0.7626096803212884,-0.0465922008756655
F,B,-0.7906597148071782,-0.9141137374687748,FB,3,-0.7906597148071782,-0.6285409756826303,-0.6285409756826303
M,W,-0.00019487601013034748,-0.0023901991725150448,MW,4,-0.8000914388872147,-0.9200122109807212,-0.2841283324166573
M,W,-0.004722521791341431,-0.006203359239878883,MW,5,-0.8046190846684258,-0.923611497555682,-0.28772761899161803
F,W,-0.9041119203838468,-0.8435495917305589,FW,6,-0.8032765245709729,-0.7980533166947853,-0.8782131843099256
M,W,-0.001071620880334878,-0.0013859933000397366,MW,7,-0.8009681837574192,-0.9207091860078065,-0.28482530744374274
M,W,0.0020504557129536194,0.0025194213383045016,MW,8,-0.7978461071641307,-0.9182272673880119,-0.2823433888239481
F,W,-0.901298768203253,-0.8413160694082099,FW,9,-0.8004633723903791,-0.7958169798949961,-0.8759768475101364
M,B,0.0940175881018154,-0.08445252017112384,MB,10,-0.8066813289108526,-0.7657003137603456,-0.049682834314722674
F,W,-0.8964937110366056,-0.8365620722651355,FW,11,-0.7956583152237316,-0.7919971630215995,-0.8721570306367398
F,B,-0.7995241535027303,-0.9193004340880802,FB,12,-0.7995241535027303,-0.6355878288891832,-0.6355878288891832
M,B,0.11952480400939415,-0.06297567544972263,MB,13,-0.7811741130032739,-0.7454231577686471,-0.029405678323024112
M,B,0.10278818694322364,-0.07781574246707061,MB,14,-0.7979107300694444,-0.7587280592621585,-0.042710579816535574
M,B,0.1081803444926456,-0.07437584595573754,MB,15,-0.7925185725200224,-0.754441522457922,-0.03842404301229903
M,W,0.007876821148122555,0.0073705923088623485,MW,16,-0.7920197417289617,-0.913595553710532,-0.27771167514646833
F,W,-0.9103769557325172,-0.8470050100596157,FW,17,-0.8095415599196433,-0.803033754368532,-0.8831936219836722
M,W,-0.0056617080432250656,-0.004270998600098372,MW,18,-0.8055582709203094,-0.9243581108357712,-0.2884742322717073
F,B,-0.8039929661616827,-0.9237910668545186,FB,19,-0.8039929661616827,-0.6391403456245095,-0.6391403456245095
F,W,-0.9079932324050171,-0.8469554120457607,FW,20,-0.8071578365921431,-0.8011387953134981,-0.8812986629286383
M,B,0.09263900835935668,-0.0867080413018667,MB,21,-0.8080599086533113,-0.7667962262498198,-0.0507787468041969
F,W,-0.9148826322946308,-0.8490773478961063,FW,22,-0.8140472364817569,-0.8066155763450721,-0.8867754439602124
M,W,-0.008752473316358412,-0.005285463188599826,MW,23,-0.8086490361934427,-0.9268151382825975,-0.2909312597185338
M,B,0.11052734937603274,-0.0715667716840383,MB,24,-0.7901715676366353,-0.7525757530103211,-0.03655827356469815
M,W,0.0019131147650904427,0.0020033777769370978,MW,25,-0.7979834481119938,-0.9183364476228897,-0.28245256905882593
M,W,0.011990724460762605,0.010262458154058482,MW,26,-0.7879058384163217,-0.9103251748692105,-0.27444129630514674
M,W,-0.00012165228154631135,0.0021742512966449173,MW,27,-0.8000182151586306,-0.9199540012187395,-0.28407012265467574
M,B,0.09065106507759124,-0.0903905360601594,MB,28,-0.8100478519350768,-0.7683765569363622,-0.05235907749073922
M,W,-0.0011176662465904026,-0.0016077460404086853,MW,29,-0.8010142291236747,-0.9207457901231926,-0.28486191155912877
M,B,0.11976931296253415,-0.06396092617348037,MB,30,-0.7809296040501339,-0.7452287835099216,-0.029211304064298615
M,W,-0.005098256500368046,-0.006169623409563778,MW,31,-0.8049948193774523,-0.9239101907307439,-0.28802631216668007
M,W,0.008598435235921055,0.006843720992936404,MW,32,-0.7912981276411633,-0.9130219010830907,-0.27713802251902697
F,B,-0.8049927040864423,-0.9227271865355849,FB,33,-0.8049927040864423,-0.6399350949191648,-0.6399350949191648
F,B,-0.8011879730913977,-0.9236361214540406,FB,34,-0.8011879730913977,-0.6369104949717418,-0.6369104949717418
M,B,0.09967505365916067,-0.08034761996224869,MB,35,-0.8010238633535074,-0.7612028683300168,-0.0451853888843938
M,W,0.02107394788370564,0.01703906371869273,MW,36,-0.7788226149933787,-0.9031043970735539,-0.26722051850949
M,B,0.0839087185162547,-0.09321653238626867,MB,37,-0.8167901984964133,-0.7737364368021099,-0.05771895735648702
M,W,0.002478060826855508,0.0017851682444481073,MW,38,-0.7974185020502288,-0.9178873394386484,-0.28200346087458456
F,W,-0.8962952776936103,-0.8365957495913712,FW,39,-0.7954598818807364,-0.7918394169208707,-0.8719992845360109
F,W,-0.9068246907422772,-0.8451273575630268,FW,40,-0.8059892949294033,-0.8002098541987943,-0.8803697218139347
F,W,-0.9142144076082702,-0.8507789991894023,FW,41,-0.8133790117953963,-0.8060843660298447,-0.886244233644985
M,W,-0.013111007455472815,-0.009985860651850786,MW,42,-0.8130075703325571,-0.930279988266782,-0.29439610970271834
M,B,0.09044740737577224,-0.08975697256388195,MB,43,-0.8102515096368957,-0.7685384561810173,-0.05252097673539444
M,W,0.0007044128403451963,0.0015983013337316178,MW,44,-0.7991921500367392,-0.9192973144444327,-0.28341343588036894
M,W,0.005518483978266422,0.004691935506158176,MW,45,-0.794378078898818,-0.9154703318457651,-0.2795864532817013
F,B,-0.7984258939570645,-0.9181653619222118,FB,46,-0.7984258939570645,-0.6347147590799368,-0.6347147590799368
F,W,-0.9022886055866888,-0.8409572131892689,FW,47,-0.8014532097738148,-0.7966038586787515,-0.8767637262938918
F,W,-0.9101405115764638,-0.8475726064980985,FW,48,-0.8093051157635899,-0.802845791281812,-0.8830056588969524
F,B,-0.8021067200856551,-0.9215699595882988,FB,49,-0.8021067200856551,-0.6376408599079607,-0.6376408599079607
M,B,0.08212217643190374,-0.09536498389308704,MB,50,-0.8185767405807642,-0.7751566620693982,-0.05913918262377521
F,B,-0.789949558476351,-0.9135410136473988,FB,51,-0.789949558476351,-0.6279764314865545,-0.6279764314865545
M,B,0.09981377772261887,-0.08043304213649433,MB,52,-0.8008851392900491,-0.7610925885768388,-0.04507510913121586
F,B,-0.804267251360393,-0.9221872112784932,FB,53,-0.804267251360393,-0.6393583907369442,-0.6393583907369442
M,B,0.108899451325109,-0.07205249933966508,MB,54,-0.791799465687559,-0.753869862992248,-0.03785238354662507
M,W,-0.0035302184106364796,-0.004457591194879236,MW,55,-0.8034267812877208,-0.9226636668818999,-0.286779788317836
