G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,W,0.000510039836621002,0.0002047477348279636,MW,1,-0.7977652041046912,-0.9182124652439521,-0.2779106923511607
M,B,0.10042231141902494,-0.08144111464965384,MB,2,-0.7977316081840979,-0.7579281192860142,-0.037513010064903554
F,W,-0.9114545800676688,-0.8487973401000379,FW,3,-0.8105485265043967,-0.810294718947602,-0.8912321217827175
M,W,-0.005923808216884582,-0.004316190261545505,MW,4,-0.8041990521581968,-0.9233730966758411,-0.2830713237830498
M,B,0.10646710275585976,-0.07532772582480549,MB,5,-0.791686816847263,-0.7530795527807664,-0.03266444355965581
M,W,0.008425275109925003,0.0008085425945726261,MW,6,-0.7898499688313873,-0.9118636034737471,-0.2715618305809557
M,B,0.10563333804764874,-0.07588052500427978,MB,7,-0.7925205815554741,-0.7537483208841178,-0.03333321166300714
M,B,0.10449308082987796,-0.07684736441814535,MB,8,-0.7936608387732449,-0.7546629286257881,-0.03424781940467739
F,W,-0.9004118973028674,-0.8384770505569329,FW,9,-0.7995058437395953,-0.8014373111732043,-0.8823747140083198
M,W,0.004813331189345172,0.002832196264326381,MW,10,-0.7934619127519671,-0.9147607672195723,-0.27445899432678095
M,W,0.01764511753738527,0.013441945173804959,MW,11,-0.7806301264039269,-0.9044683078073703,-0.264166534914579
M,B,0.10512387261911812,-0.07527928803418536,MB,12,-0.7930300469840047,-0.7541569664228485,-0.03374185720173779
M,B,0.10475077366199244,-0.0780849529486923,MB,13,-0.7934031459411304,-0.7544562315266146,-0.03404112230550392
F,W,-0.8795798618715129,-0.8241822174607412,FW,14,-0.7786738083082408,-0.7847277998600333,-0.8656652026951488
M,B,0.097863337246972,-0.08222739755123698,MB,15,-0.8002905823561508,-0.7599806891378144,-0.03956557991670373
M,B,0.10344319682709067,-0.07656577355138497,MB,16,-0.7947107227760322,-0.7555050474230558,-0.03508993820194514
F,B,-0.8038466604978073,-0.9227161012225452,FB,17,-0.8038466604978073,-0.6447706424033062,-0.6447706424033062
F,W,-0.9047784465916328,-0.8388201509249873,FW,18,-0.8038723930283607,-0.804939748800126,-0.8858771516352415
F,W,-0.8978824552214434,-0.8362425599546359,FW,19,-0.7969764016581713,-0.799408429203661,-0.8803458320387763
M,B,0.08744495596263946,-0.08705318113529914,MB,20,-0.8107089636404834,-0.7683373406282139,-0.047922231407103236
F,B,-0.7911744303505712,-0.9131156072875168,FB,21,-0.7911744303505712,-0.6346061640590707,-0.6346061640590707
M,W,-0.007422868422400913,-0.005686521918275457,MW,22,-0.8056981123637131,-0.9245755026311182,-0.2842737297383267
M,B,0.1061165290646911,-0.0762907165201557,MB,23,-0.7920373905384317,-0.7533607502219856,-0.03294564100087492
F,W,-0.9018883913293808,-0.8422441770317675,FW,24,-0.8009823377661087,-0.8026216166493136,-0.8835590194844292
F,W,-0.9165500684657932,-0.8527364257951221,FW,25,-0.8156440149025211,-0.8143818433822332,-0.8953192462173487
M,B,0.09748348344030366,-0.08320630486084019,MB,26,-0.8006704361628192,-0.7602853723503977,-0.039870263129287084
F,W,-0.8781344696714649,-0.8224925897407689,FW,27,-0.7772284161081928,-0.78356844136152,-0.8645058441966356
M,W,0.008811133469356813,0.008574430936147187,MW,28,-0.7894641104719554,-0.9115541039702804,-0.27125233107748886
F,W,-0.8835794564349031,-0.8267338876777155,FW,29,-0.782673402871631,-0.7879359007114977,-0.8688733035466132
F,W,-0.9151750067030112,-0.8527442412455404,FW,30,-0.8142689531397391,-0.8132788973855625,-0.894216300220678
M,W,-0.005345488536985116,-0.004427884612367749,MW,31,-0.8036207324782974,-0.9229092226935915,-0.2826074498008001
M,B,0.09196459618292348,-0.08470805381425019,MB,32,-0.8061893234201993,-0.7647121077679322,-0.04429699854682155
M,W,0.004150981069970684,0.0025056658262414496,MW,33,-0.7941242628713415,-0.9152920425646742,-0.2749902696718829
M,W,0.00670357502216136,0.005703944306904639,MW,34,-0.7915716689191509,-0.9132445903287845,-0.2729428174359931
M,B,0.11264428301417433,-0.07037641752339999,MB,35,-0.7855096365889486,-0.7481247962592578,-0.027709687038147093
M,B,0.10542137237152886,-0.07535671838294042,MB,36,-0.792732547231594,-0.753918339933615,-0.03350323071250426
F,B,-0.7937052314418205,-0.9171645431082014,FB,37,-0.7937052314418205,-0.6366361360992472,-0.6366361360992472
M,W,-0.00963984033678163,-0.007511027633907446,MW,38,-0.8079150842780939,-0.9263537502443384,-0.28605197735154697
M,W,0.003942422072745239,0.0029952126795196434,MW,39,-0.794332821868567,-0.9154593290948401,-0.2751575562020487
F,W,-0.9031067428483288,-0.8395206065720108,FW,40,-0.8022006892850567,-0.8035988643386411,-0.8845362671737567
