G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve
M,W,0.047945131097624535,0.031057758263615117,MW,1,W,0,0,-0.9516187753130997,-0.9615947620256715,-0.16410415773359488
M,B,-0.006452888832154763,-0.0849683764719528,MB,2,B,0,1,-1.006016795242879,-0.9250001944582205,-0.12750959016614377
F,W,-1.0054747308359238,-0.9251859902943096,FW,3,W,0,0,-1.0054747308359238,-0.8827132315221912,-0.8827132315221912
M,B,0.026957940584982253,-0.06117327545965704,MB,4,B,0,1,-0.972605965825742,-0.8983437472106909,-0.10085314291861416
M,B,-0.07343237046368717,-0.14389818005921806,MB,5,B,0,1,-1.0729962768744115,-0.9784390060628807,-0.1809484017708039
F,W,-1.041437759603491,-0.9529259795032309,FW,6,W,0,0,-1.041437759603491,-0.9114059217644854,-0.9114059217644854
M,W,0.01751640511871956,0.008584484672747267,MW,7,W,0,0,-0.9820475012920047,-0.9858719722301622,-0.1883813679380855
M,B,-0.0029446122025095518,-0.08055830778337889,MB,8,B,0,1,-1.0025085186132339,-0.9222011561661657,-0.12471055187408894
M,W,-0.03982505005283055,-0.034761513486194565,MW,9,W,0,0,-1.0393889564635548,-1.0316211949086331,-0.23413059061655644
F,W,-1.0733772304707598,-0.9711844132141176,FW,10,W,0,0,-1.0733772304707598,-0.9368884624598286,-0.9368884624598286
M,B,-0.03383591645795729,-0.10321971583010793,MB,11,B,0,1,-1.0333998228686816,-0.9468474291458592,-0.14935682485378235
F,B,-1.0172596247557475,-1.0280878838465568,FB,12,B,0,1,-1.0172596247557475,-0.8116089303199038,-0.8116089303199038
M,W,-0.023503714590055503,-0.020384621494314525,MW,13,W,0,0,-1.0230676210007796,-1.0185994045082565,-0.22110880021617976
M,B,-0.0003866840759800302,-0.08481612010031807,MB,14,B,0,1,-0.9999505904867043,-0.9201603425330617,-0.12266973824098491
M,W,0.013982923815335276,0.016622459035838002,MW,15,W,0,0,-0.985580982595389,-0.9886911197822276,-0.19120051549015085
F,B,-0.9743148103861629,-0.9821717742827832,FB,16,B,0,1,-0.9743148103861629,-0.7773459024702982,-0.7773459024702982
M,B,0.013390031844026179,-0.06598760738913129,MB,17,B,0,1,-0.986173874566698,-0.9091687476647976,-0.11167814337272092
M,B,0.010698814318756885,-0.06915892348067802,MB,18,B,0,1,-0.9888650920919674,-0.9113159047167316,-0.11382530042465487
M,B,0.0033753930641760915,-0.07872240627490469,MB,19,B,0,1,-0.9961885133465481,-0.9171588124131218,-0.11966820812104507
M,W,-0.00041376601127422736,-0.003759623172105315,MW,20,W,0,0,-0.9999776724219984,-1.0001773537248433,-0.20268674943276654
M,B,-0.034967490377799386,-0.1186155330340178,MB,21,B,0,1,-1.0345313967885237,-0.947750242426079,-0.15025963813400217
M,W,0.03517501751189355,0.02566576315959545,MW,22,W,0,0,-0.9643888888988307,-0.9717832507606563,-0.17429264646857967
M,W,-0.035936739121151834,-0.02234885127683065,MW,23,W,0,0,-1.035500645531876,-1.0285189506052002,-0.2310283463131234
M,B,-0.040304898984347484,-0.11040094705447542,MB,24,B,0,1,-1.0398688053950718,-0.9520086326977669,-0.15451802840569007
M,B,0.0263797553045362,-0.058065673553413716,MB,25,B,0,1,-0.9731841511061881,-0.8988050457087043,-0.1013144414166276
