G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve
M,W,-0.05209779597321852,-0.045427779417504234,MW,1,W,0,0,-1.0515422006466293,-1.04461179226402,-0.24438610258566107
M,W,-0.016547654120147116,-0.010875813188620121,MW,2,W,0,0,-1.0159920587935578,-1.0100598260351357,-0.20983413635677697
M,W,0.011694812152080906,-0.001961125429815927,MW,3,W,0,0,-0.9877495925213299,-1.0011451382763314,-0.20091944859797278
F,W,-1.0330181944468024,-0.9441242629740982,FW,4,W,0,0,-1.0330181944468024,-1.0237168894593682,-1.0237168894593682
F,B,-1.040321069285946,-1.031506215954901,FB,5,B,0,1,-1.040321069285946,-1.031506215954901,-1.031506215954901
F,W,-0.9865376278477502,-0.91035335196636,FW,6,W,0,0,-0.9865376278477502,-0.9899459784516299,-0.9899459784516299
M,W,0.0057608057002322575,0.0018802374725159345,MW,7,W,0,0,-0.9936835989731785,-0.9973037753739996,-0.19707808569564092
F,W,-1.0477323183918916,-0.960386110575598,FW,8,W,0,0,-1.0477323183918916,-1.039978737060868,-1.039978737060868
F,W,-1.009587518194916,-0.9325215339628778,FW,9,W,0,0,-1.009587518194916,-1.0121141604481478,-1.0121141604481478
F,W,-1.0082821630070449,-0.92495920382204,FW,10,W,0,0,-1.0082821630070449,-1.00455183030731,-1.00455183030731
F,B,-1.0269823068350283,-1.0236685783003698,FB,11,B,0,1,-1.0269823068350283,-1.0236685783003698,-1.0236685783003698
F,B,-0.9808694314716404,-0.9824858951254524,FB,12,B,0,1,-0.9808694314716404,-0.9824858951254524,-0.9824858951254524
M,B,-0.005261925442176193,-0.0920518279495212,MB,13,B,0,1,-1.004706330115587,-1.0111114320414045,-0.2108857423630459
M,B,0.017904880323113218,-0.06718765555316095,MB,14,B,0,1,-0.9815395243502976,-0.9862472596450444,-0.18602156996668567
M,W,-0.005729607888430665,-0.009631090854118,MW,15,W,0,0,-1.0051740125618414,-1.0088151037006337,-0.20858941402227485
F,W,-0.984973397449504,-0.910711440510506,FW,16,W,0,0,-0.984973397449504,-0.9903040669957759,-0.9903040669957759
M,W,0.058876201575968165,0.04075487842483224,MW,17,W,0,0,-0.9405682030974426,-0.9584291344216833,-0.1582034447433246
F,W,-0.9552398351856936,-0.8846697901928938,FW,18,W,0,0,-0.9552398351856936,-0.9642624166781637,-0.9642624166781637
M,B,0.007250898490510889,-0.07980097843079997,MB,19,B,0,1,-0.9921935061828999,-0.9988605825226834,-0.19863489284432467
M,W,0.04943464075242585,0.038887640240946784,MW,20,W,0,0,-0.9500097639209849,-0.9602963726055688,-0.16007068292721005
F,W,-1.06848710464602,-0.9663073437203952,FW,21,W,0,0,-1.06848710464602,-1.045899970205665,-1.045899970205665
M,W,0.02450077659288955,0.015809400918296208,MW,22,W,0,0,-0.9749436280805213,-0.9833746119282194,-0.18314892224986062
F,W,-0.9794534996805168,-0.9030116658745164,FW,23,W,0,0,-0.9794534996805168,-0.9826042923597863,-0.9826042923597863
M,W,0.032394191714782056,0.02389031906368421,MW,24,W,0,0,-0.9670502129586287,-0.9752936937828314,-0.17506800410447262
M,W,0.02023161882966401,0.022745876996307642,MW,25,W,0,0,-0.9792127858437467,-0.9764381358502079,-0.1762124461718492
M,B,-0.005455123969954295,-0.08720126098223642,MB,26,B,0,1,-1.004899528643365,-1.0062608650741198,-0.20603517539576113
F,B,-1.035959605951304,-1.0269082596119066,FB,27,B,0,1,-1.035959605951304,-1.0269082596119066,-1.0269082596119066
F,B,-0.9789051114144486,-0.9859306337287868,FB,28,B,0,1,-0.9789051114144486,-0.9859306337287868,-0.9859306337287868
M,W,0.012484062197851704,0.014673267211470747,MW,29,W,0,0,-0.9869603424755591,-0.9845107456350448,-0.1842850559566861
M,B,-0.02454442260315148,-0.1006546238925306,MB,30,B,0,1,-1.0239888272765623,-1.019714227984414,-0.2194885383060553
F,B,-0.9803292943011328,-0.9851829043218676,FB,31,B,0,1,-0.9803292943011328,-0.9851829043218676,-0.9851829043218676
F,B,-0.9934037530028376,-0.9895139336266564,FB,32,B,0,1,-0.9934037530028376,-0.9895139336266564,-0.9895139336266564
F,B,-1.0000550290091836,-0.991890124520982,FB,33,B,0,1,-1.0000550290091836,-0.991890124520982,-0.991890124520982
